
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 3227c3bf-1648-4ebb-b971-83d1c5186a51 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.195     1    3.195          0.151    0.0  18.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 58.199    1    58.199         83.792   1.0  0.0         -        59.0    -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 52.452    1    52.452         124.838  0.0  0.0         -        53.0    -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 9.211     1    9.211          25.845   0.0  13.0        -        9.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 55.159    1    55.159         180.596  0.0  1.0         -        55.0    -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 11.517    1    11.517         28.283   0.0  20.0        -        12.0    -       -             0        cn17640-enp5s0 
binary_ID0000006                    1   condorpool 41.931    1    41.931         67.498   0.0  23.0        -        42.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 10.087    1    10.087         27.762   0.0  19.0        -        10.0    -       -             0        cn17640-enp5s0 
binary_ID0000008                    1   condorpool 60.861    1    60.861         78.114   1.0  0.0         -        61.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 12.155    1    12.155         26.376   0.0  21.0        -        12.0    -       -             0        cn17662-enp5s0 
binary_ID0000015                    1   condorpool 11.931    1    11.931         27.225   0.0  21.0        -        12.0    -       -             0        cn17662-enp5s0 
binary_ID0000012                    1   condorpool 10.688    1    10.688         26.806   0.0  21.0        -        10.0    -       -             0        cn17636-enp5s0 
binary_ID0000013                    1   condorpool 10.203    1    10.203         26.779   0.0  21.0        -        10.0    -       -             0        cn17636-enp5s0 
binary_ID0000010                    1   condorpool 41.101    1    41.101         238.35   1.0  16.0        -        41.0    -       -             0        cn17655-ens4   
binary_ID0000011                    1   condorpool 40.755    1    40.755         68.437   1.0  16.0        -        41.0    -       -             0        cn17655-ens4   
binary_ID0000009                    1   condorpool 10.063    1    10.063         22.736   0.0  16.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000018                    1   condorpool 9.228     1    9.228          24.6     0.0  0.0         -        10.0    -       -             0        cn17651-ens4   
binary_ID0000029                    1   condorpool 12.435    1    12.435         29.361   1.0  20.0        -        13.0    -       -             0        cn17662-enp5s0 
binary_ID0000019                    1   condorpool 10.542    1    10.542         25.561   0.0  20.0        -        11.0    -       -             0        cn17651-ens4   
binary_ID0000016                    1   condorpool 50.958    1    50.958         210.214  0.0  21.0        -        51.0    -       -             0        cn17644-enp5s0 
binary_ID0000027                    1   condorpool 94.956    1    94.956         176.113  1.0  20.0        -        96.0    -       -             0        cn17635-ens4   
binary_ID0000017                    1   condorpool 62.732    1    62.732         754.89   0.0  16.0        -        62.0    -       -             0        cn17653-ens4   
binary_ID0000028                    1   condorpool 11.799    1    11.799         28.326   1.0  16.0        -        12.0    -       -             0        cn17662-enp5s0 
binary_ID0000025                    1   condorpool 10.8      1    10.8           22.216   1.0  16.0        -        11.0    -       -             0        cn17661-ens4   
binary_ID0000026                    1   condorpool 80.717    1    80.717         1461.379 0.0  16.0        -        80.0    -       -             0        cn17635-ens4   
binary_ID0000023                    1   condorpool 63.213    1    63.213         88.436   0.0  20.0        -        63.0    -       -             0        cn17644-enp5s0 
binary_ID0000024                    1   condorpool 10.01     1    10.01          23.482   0.0  10.0        -        10.0    -       -             0        cn17661-ens4   
binary_ID0000021                    1   condorpool 82.825    1    82.825         597.452  0.0  10.0        -        83.0    -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 49.289    1    49.289         65.785   0.0  10.0        -        49.0    -       -             0        cn17637-ens4   
binary_ID0000030                    1   condorpool 49.267    1    49.267         129.19   0.0  10.0        -        49.0    -       -             0        cn17637-ens4   
binary_ID0000020                    1   condorpool 55.25     1    55.25          90.188   0.0  10.0        -        55.0    -       -             0        cn17655-ens4   
binary_ID0000031                    1   condorpool 56.162    1    56.162         718.965  0.0  5.0         -        56.0    -       -             0        cn17655-ens4   
process_ID0000036                   1   condorpool 57.009    1    57.009         76.343   0.0  1.0         -        57.0    -       -             0        cn17637-ens4   
process_ID0000047                   1   condorpool 13.063    1    13.063         27.583   0.0  20.0        -        13.0    -       -             0        cn17642-enp5s0 
process_ID0000037                   1   condorpool 11.87     1    11.87          23.331   0.0  20.0        -        12.0    -       -             0        cn17648-enp5s0 
process_ID0000038                   1   condorpool 12.842    1    12.842         25.472   0.0  20.0        -        13.0    -       -             0        cn17656-enp5s0 
process_ID0000039                   1   condorpool 105.404   1    105.404        161.072  0.0  20.0        -        106.0   -       -             0        cn17653-ens4   
process_ID0000032                   1   condorpool 100.368   1    100.368        1557.708 0.0  15.0        -        101.0   -       -             0        cn17653-ens4   
process_ID0000043                   1   condorpool 12.584    1    12.584         25.218   0.0  15.0        -        13.0    -       -             0        cn17656-enp5s0 
process_ID0000033                   1   condorpool 13.735    1    13.735         30.046   0.0  15.0        -        14.0    -       -             0        cn17642-enp5s0 
process_ID0000044                   1   condorpool 12.065    1    12.065         26.413   0.0  15.0        -        13.0    -       -             0        cn17636-enp5s0 
process_ID0000034                   1   condorpool 11.259    1    11.259         25.928   0.0  15.0        -        12.0    -       -             0        cn17639-ens4   
process_ID0000045                   1   condorpool 15.154    1    15.154         42.347   0.0  10.0        -        16.0    -       -             0        cn17645-ens4   
process_ID0000035                   1   condorpool 10.723    1    10.723         22.802   0.0  10.0        -        11.0    -       -             0        cn17640-enp5s0 
