
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# ed03a4d9-2388-432c-b895-a705b0ab00bf (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.201     1    3.201          0.151    1.0  4.0         -        3.0     -       -             0        cn17643-ens4   
createfile_ID0000001                1   condorpool 2.23      1    2.23           7.029    0.0  0.0         -        2.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 6.686     1    6.686          1.387    1.0  0.0         -        7.0     -       -             0        cn17643-ens4   
binary_ID0000003                    1   condorpool 2.784     1    2.784          10.998   0.0  7.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000002                    1   condorpool 10.069    1    10.069         7.903    0.0  9.0         -        10.0    -       -             -11      cn17651-ens4   
binary_ID0000002                    2   condorpool 3.095     1    3.095          10.663   0.0  0.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000007                    1   condorpool 3.042     1    3.042          11.063   0.0  1.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000005                    1   condorpool 3.387     1    3.387          8.514    0.0  3.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000006                    1   condorpool 27.213    1    27.213         11.22    1.0  7.0         -        27.0    -       -             0        cn17651-ens4   
binary_ID0000004                    1   condorpool 3.358     1    3.358          11.489   0.0  25.0        -        4.0     -       -             0        cn17643-ens4   
binary_ID0000008                    1   condorpool 9.765     1    9.765          7.805    0.0  0.0         -        10.0    -       -             -11      cn17643-ens4   
binary_ID0000014                    1   condorpool 3.405     1    3.405          10.953   1.0  0.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000015                    1   condorpool 3.394     1    3.394          10.637   0.0  4.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000012                    1   condorpool 3.774     1    3.774          9.47     0.0  8.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000013                    1   condorpool 42.578    1    42.578         10.463   0.0  10.0        -        43.0    -       -             0        cn17643-ens4   
binary_ID0000010                    1   condorpool 3.42      1    3.42           10.634   0.0  7.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000011                    1   condorpool 3.294     1    3.294          11.089   0.0  11.0        -        3.0     -       -             0        cn17651-ens4   
binary_ID0000009                    1   condorpool 3.208     1    3.208          10.371   0.0  14.0        -        4.0     -       -             0        cn17651-ens4   
binary_ID0000008                    2   condorpool 3.357     1    3.357          9.087    0.0  1.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000018                    1   condorpool 2.816     1    2.816          10.746   0.0  0.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000029                    1   condorpool 3.033     1    3.033          11.164   0.0  4.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000019                    1   condorpool 9.105     1    9.105          8.157    0.0  7.0         -        9.0     -       -             -11      cn17643-ens4   
binary_ID0000016                    1   condorpool 3.26      1    3.26           10.331   0.0  16.0        -        4.0     -       -             0        cn17643-ens4   
binary_ID0000027                    1   condorpool 3.55      1    3.55           10.908   1.0  19.0        -        4.0     -       -             0        cn17651-ens4   
binary_ID0000017                    1   condorpool 2.882     1    2.882          10.133   1.0  14.0        -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000028                    1   condorpool 5.55      1    5.55           3.448    1.0  14.0        -        6.0     -       -             -6       cn17658-enp5s0 
binary_ID0000025                    1   condorpool 3.257     1    3.257          10.53    1.0  14.0        -        4.0     -       -             0        cn17645-ens4   
binary_ID0000026                    1   condorpool 3.316     1    3.316          11.326   1.0  14.0        -        4.0     -       -             0        cn17639-ens4   
binary_ID0000023                    1   condorpool 3.308     1    3.308          10.605   1.0  14.0        -        4.0     -       -             0        cn17655-ens4   
binary_ID0000024                    1   condorpool 3.535     1    3.535          9.699    1.0  9.0         -        4.0     -       -             0        cn17657-ens4   
binary_ID0000021                    1   condorpool 8.906     1    8.906          8.44     0.0  9.0         -        9.0     -       -             -11      cn17635-ens4   
binary_ID0000022                    1   condorpool 3.208     1    3.208          9.953    1.0  9.0         -        4.0     -       -             0        cn17661-ens4   
binary_ID0000030                    1   condorpool 3.47      1    3.47           9.509    1.0  9.0         -        4.0     -       -             0        cn17648-enp5s0 
binary_ID0000020                    1   condorpool 3.422     1    3.422          11.419   1.0  8.0         -        4.0     -       -             0        cn17637-ens4   
binary_ID0000031                    1   condorpool 11.268    1    11.268         9.309    0.0  3.0         -        12.0    -       -             -11      cn17647-ens4   
binary_ID0000019                    2   condorpool 3.925     1    3.925          12.35    0.0  1.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000028                    2   condorpool 4.09      1    4.09           11.529   1.0  0.0         -        5.0     -       -             0        cn17651-ens4   
binary_ID0000021                    2   condorpool 3.238     1    3.238          11.168   0.0  1.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000031                    2   condorpool 3.696     1    3.696          12.28    0.0  0.0         -        4.0     -       -             0        cn17651-ens4   
process_ID0000036                   1   condorpool 3.392     1    3.392          11.181   0.0  0.0         -        4.0     -       -             0        cn17651-ens4   
process_ID0000047                   1   condorpool 3.007     1    3.007          9.588    1.0  5.0         -        4.0     -       -             0        cn17651-ens4   
process_ID0000037                   1   condorpool 3.413     1    3.413          9.915    0.0  9.0         -        3.0     -       -             0        cn17651-ens4   
process_ID0000038                   1   condorpool 2.763     1    2.763          10.108   0.0  13.0        -        3.0     -       -             0        cn17651-ens4   
process_ID0000039                   1   condorpool 2.916     1    2.916          10.469   0.0  16.0        -        3.0     -       -             0        cn17651-ens4   
process_ID0000032                   1   condorpool 9.134     1    9.134          6.742    0.0  12.0        -        9.0     -       -             -11      cn17643-ens4   
process_ID0000043                   1   condorpool 3.079     1    3.079          10.47    0.0  12.0        -        3.0     -       -             0        cn17656-enp5s0 
process_ID0000033                   1   condorpool 3.08      1    3.08           11.031   0.0  12.0        -        3.0     -       -             0        cn17658-enp5s0 
process_ID0000044                   1   condorpool 3.325     1    3.325          11.114   1.0  12.0        -        3.0     -       -             0        cn17645-ens4   
process_ID0000034                   1   condorpool 3.06      1    3.06           10.141   0.0  12.0        -        3.0     -       -             0        cn17639-ens4   
process_ID0000045                   1   condorpool 3.148     1    3.148          11.022   0.0  7.0         -        3.0     -       -             0        cn17655-ens4   
process_ID0000035                   1   condorpool 3.338     1    3.338          9.567    0.0  7.0         -        4.0     -       -             0        cn17657-ens4   
