
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# fd03f751-d72d-44d6-8d05-d0f983eef161 (binary-tree)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   64        62        2       1.271     9.386     1.597          102.192   
createfile               1         1         0       1.205     1.205     1.205          1.205     
dagman::post             134       129       5       0.0       1.0       0.134          18.0      
pegasus::dirmanager      1         1         0       3.194     3.194     3.194          3.194     
pegasus::transfer        2         2         0       2.532     12.606    7.569          15.138    
process                  33        32        1       1.292     7.003     1.623          53.547    
reduce                   33        31        2       1.594     7.208     2.589          85.426    


# All (All)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   64        62        2       1.271     9.386     1.597          102.192   
createfile               1         1         0       1.205     1.205     1.205          1.205     
dagman::post             134       129       5       0.0       1.0       0.134          18.0      
pegasus::dirmanager      1         1         0       3.194     3.194     3.194          3.194     
pegasus::transfer        2         2         0       2.532     12.606    7.569          15.138    
process                  33        32        1       1.292     7.003     1.623          53.547    
reduce                   33        31        2       1.594     7.208     2.589          85.426    
