
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 930b9b94-fbdb-44b9-ac0e-a5d827ecf164 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.198     1    3.198          0.155    0.0  16.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 2.437     1    2.437          6.528    1.0  7.0         -        2.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 3.269     1    3.269          10.88    0.0  6.0         -        4.0     -       -             0        cn17648-enp5s0 
binary_ID0000002                    1   condorpool 3.846     1    3.846          9.827    0.0  6.0         -        4.0     -       -             0        cn17648-enp5s0 
binary_ID0000007                    1   condorpool 2.982     1    2.982          10.73    0.0  0.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 3.113     1    3.113          8.6      0.0  0.0         -        3.0     -       -             0        cn17648-enp5s0 
binary_ID0000006                    1   condorpool 2.498     1    2.498          10.425   0.0  3.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 2.387     1    2.387          8.508    0.0  3.0         -        3.0     -       -             0        cn17648-enp5s0 
binary_ID0000008                    1   condorpool 5.111     1    5.111          12.83    0.0  21.0        -        5.0     -       -             0        cn17653-ens4   
binary_ID0000014                    1   condorpool 3.522     1    3.522          13.571   0.0  20.0        -        4.0     -       -             0        cn17640-enp5s0 
binary_ID0000015                    1   condorpool 3.967     1    3.967          12.831   0.0  19.0        -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000012                    1   condorpool 5.299     1    5.299          12.383   0.0  20.0        -        5.0     -       -             0        cn17651-ens4   
binary_ID0000013                    1   condorpool 4.78      1    4.78           13.056   0.0  20.0        -        5.0     -       -             0        cn17651-ens4   
binary_ID0000010                    1   condorpool 3.417     1    3.417          10.424   0.0  14.0        -        4.0     -       -             0        cn17648-enp5s0 
binary_ID0000011                    1   condorpool 3.062     1    3.062          10.869   0.0  15.0        -        3.0     -       -             0        cn17648-enp5s0 
binary_ID0000009                    1   condorpool 4.792     1    4.792          12.847   0.0  15.0        -        5.0     -       -             0        cn17653-ens4   
binary_ID0000018                    1   condorpool 2.974     1    2.974          11.465   1.0  0.0         -        3.0     -       -             0        cn17636-enp5s0 
binary_ID0000029                    1   condorpool 3.023     1    3.023          12.146   1.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000019                    1   condorpool 3.757     1    3.757          11.641   0.0  3.0         -        4.0     -       -             0        cn17636-enp5s0 
binary_ID0000016                    1   condorpool 3.527     1    3.527          11.849   0.0  3.0         -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000027                    1   condorpool 3.124     1    3.124          12.691   1.0  8.0         -        3.0     -       -             0        cn17636-enp5s0 
binary_ID0000017                    1   condorpool 2.958     1    2.958          12.913   1.0  3.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000028                    1   condorpool 2.997     1    2.997          11.76    1.0  6.0         -        4.0     -       -             0        cn17658-enp5s0 
