
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 4075cb62-db83-4480-aa42-9d99d8be7705 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.2       1    3.2            0.156    1.0  19.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 2.808     1    2.808          5.997    0.0  3.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 3.92      1    3.92           11.054   0.0  3.0         -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 2.505     1    2.505          10.286   0.0  3.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 3.36      1    3.36           10.801   0.0  4.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 3.018     1    3.018          9.94     0.0  4.0         -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 3.115     1    3.115          10.026   0.0  3.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000004                    1   condorpool 3.223     1    3.223          10.993   0.0  3.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000008                    1   condorpool 3.301     1    3.301          9.628    0.0  3.0         -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 3.239     1    3.239          11.473   0.0  3.0         -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 3.434     1    3.434          10.605   0.0  3.0         -        4.0     -       -             0        cn17661-ens4   
binary_ID0000012                    1   condorpool 2.912     1    2.912          10.046   0.0  3.0         -        4.0     -       -             0        cn17661-ens4   
binary_ID0000013                    1   condorpool 3.441     1    3.441          9.985    0.0  4.0         -        3.0     -       -             0        cn17645-ens4   
binary_ID0000010                    1   condorpool 3.084     1    3.084          9.482    0.0  3.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000011                    1   condorpool 3.07      1    3.07           9.91     0.0  2.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000009                    1   condorpool 3.115     1    3.115          9.875    0.0  2.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000018                    1   condorpool 3.426     1    3.426          10.107   0.0  18.0        -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 3.108     1    3.108          9.443    0.0  18.0        -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 3.88      1    3.88           9.717    0.0  18.0        -        4.0     -       -             0        cn17661-ens4   
binary_ID0000016                    1   condorpool 3.335     1    3.335          9.851    0.0  18.0        -        4.0     -       -             0        cn17661-ens4   
binary_ID0000027                    1   condorpool 4.21      1    4.21           9.872    0.0  17.0        -        4.0     -       -             0        cn17645-ens4   
binary_ID0000017                    1   condorpool 4.292     1    4.292          10.065   0.0  12.0        -        4.0     -       -             0        cn17645-ens4   
binary_ID0000028                    1   condorpool 3.322     1    3.322          10.44    0.0  12.0        -        3.0     -       -             0        cn17651-ens4   
binary_ID0000025                    1   condorpool 3.495     1    3.495          10.907   0.0  12.0        -        4.0     -       -             0        cn17651-ens4   
binary_ID0000026                    1   condorpool 3.734     1    3.734          10.006   0.0  12.0        -        4.0     -       -             0        cn17653-ens4   
binary_ID0000023                    1   condorpool 4.915     1    4.915          10.838   0.0  12.0        -        5.0     -       -             0        cn17653-ens4   
binary_ID0000024                    1   condorpool 3.427     1    3.427          10.374   0.0  7.0         -        4.0     -       -             0        cn17636-enp5s0 
binary_ID0000021                    1   condorpool 4.138     1    4.138          10.402   0.0  7.0         -        4.0     -       -             0        cn17636-enp5s0 
binary_ID0000022                    1   condorpool 4.097     1    4.097          10.476   0.0  7.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000030                    1   condorpool 3.247     1    3.247          10.945   0.0  7.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000020                    1   condorpool 4.514     1    4.514          11.765   0.0  7.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000031                    1   condorpool 4.235     1    4.235          11.421   0.0  2.0         -        5.0     -       -             0        cn17644-enp5s0 
process_ID0000036                   1   condorpool 3.359     1    3.359          10.713   0.0  1.0         -        4.0     -       -             0        cn17660-enp5s0 
process_ID0000047                   1   condorpool 3.158     1    3.158          10.502   0.0  2.0         -        3.0     -       -             0        cn17660-enp5s0 
process_ID0000037                   1   condorpool 3.278     1    3.278          10.194   0.0  1.0         -        4.0     -       -             0        cn17661-ens4   
process_ID0000038                   1   condorpool 3.229     1    3.229          9.614    0.0  2.0         -        3.0     -       -             0        cn17661-ens4   
process_ID0000039                   1   condorpool 3.922     1    3.922          10.501   0.0  2.0         -        4.0     -       -             0        cn17645-ens4   
process_ID0000032                   1   condorpool 2.728     1    2.728          10.129   1.0  0.0         -        3.0     -       -             0        cn17645-ens4   
process_ID0000043                   1   condorpool 3.937     1    3.937          10.016   0.0  3.0         -        4.0     -       -             0        cn17645-ens4   
process_ID0000033                   1   condorpool 3.245     1    3.245          11.194   0.0  7.0         -        4.0     -       -             0        cn17645-ens4   
process_ID0000044                   1   condorpool 2.956     1    2.956          10.692   0.0  11.0        -        3.0     -       -             0        cn17645-ens4   
process_ID0000034                   1   condorpool 5.087     1    5.087          12.028   2.0  14.0        -        5.0     -       -             0        cn17645-ens4   
process_ID0000045                   1   condorpool 3.337     1    3.337          10.139   2.0  10.0        -        4.0     -       -             0        cn17660-enp5s0 
