
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 4f749c6d-a384-41fb-b852-777103966938 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.198     1    3.198          0.153    0.0  9.0         -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 2.507     1    2.507          6.576    0.0  3.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 3.21      1    3.21           10.645   1.0  4.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 3.18      1    3.18           10.759   1.0  4.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 3.538     1    3.538          10.696   0.0  3.0         -        4.0     -       -             0        cn17640-enp5s0 
binary_ID0000005                    1   condorpool 3.475     1    3.475          12.029   0.0  3.0         -        4.0     -       -             0        cn17642-enp5s0 
binary_ID0000006                    1   condorpool 3.19      1    3.19           12.081   0.0  3.0         -        3.0     -       -             0        cn17640-enp5s0 
binary_ID0000004                    1   condorpool 3.825     1    3.825          10.544   0.0  3.0         -        4.0     -       -             0        cn17642-enp5s0 
binary_ID0000008                    1   condorpool 3.493     1    3.493          11.266   0.0  4.0         -        3.0     -       -             0        cn17642-enp5s0 
binary_ID0000014                    1   condorpool 3.296     1    3.296          12.73    0.0  4.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000015                    1   condorpool 3.543     1    3.543          12.235   0.0  4.0         -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000012                    1   condorpool 3.058     1    3.058          9.923    0.0  3.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000013                    1   condorpool 3.13      1    3.13           9.755    0.0  3.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000010                    1   condorpool 3.181     1    3.181          10.476   0.0  1.0         -        4.0     -       -             0        cn17661-ens4   
binary_ID0000011                    1   condorpool 2.894     1    2.894          9.787    0.0  1.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000009                    1   condorpool 3.719     1    3.719          10.774   0.0  1.0         -        4.0     -       -             0        cn17642-enp5s0 
binary_ID0000018                    1   condorpool 3.769     1    3.769          11.87    0.0  17.0        -        4.0     -       -             0        cn17642-enp5s0 
