
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 59f74510-fe8b-418d-a55e-d0f670e692ba (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.212     1    3.212          0.155    0.0  12.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 4.764     1    4.764          0.313    1.0  3.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 6.157     1    6.157          0.281    0.0  2.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 5.871     1    5.871          0.273    0.0  2.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 5.627     1    5.627          0.274    1.0  2.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 5.428     1    5.428          0.276    1.0  2.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 6.376     1    6.376          0.279    1.0  2.0         -        7.0     -       -             0        cn17661-ens4   
binary_ID0000004                    1   condorpool 6.524     1    6.524          0.286    1.0  2.0         -        7.0     -       -             0        cn17661-ens4   
binary_ID0000008                    1   condorpool 5.169     1    5.169          0.248    1.0  2.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 5.411     1    5.411          0.275    1.0  2.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 5.548     1    5.548          0.251    1.0  2.0         -        6.0     -       -             0        cn17661-ens4   
binary_ID0000012                    1   condorpool 5.561     1    5.561          0.255    1.0  2.0         -        6.0     -       -             0        cn17661-ens4   
