
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 36f0a240-e6c3-4410-89d0-13fcc9e4622d (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.191     1    3.191          0.153    0.0  15.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 2.273     1    2.273          6.554    0.0  6.0         -        2.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 2.64      1    2.64           9.834    0.0  4.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 3.287     1    3.287          9.618    0.0  4.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 3.365     1    3.365          10.027   0.0  4.0         -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 3.168     1    3.168          10.85    0.0  4.0         -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 2.824     1    2.824          9.934    0.0  4.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000004                    1   condorpool 2.953     1    2.953          10.542   0.0  4.0         -        4.0     -       -             0        cn17661-ens4   
binary_ID0000008                    1   condorpool 2.863     1    2.863          9.032    0.0  3.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 3.028     1    3.028          9.721    1.0  3.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 3.171     1    3.171          9.232    1.0  3.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000012                    1   condorpool 2.823     1    2.823          9.634    0.0  3.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000013                    1   condorpool 3.635     1    3.635          11.019   1.0  3.0         -        4.0     -       -             0        cn17645-ens4   
binary_ID0000010                    1   condorpool 2.838     1    2.838          9.214    1.0  1.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000011                    1   condorpool 3.416     1    3.416          9.261    1.0  1.0         -        4.0     -       -             0        cn17661-ens4   
binary_ID0000009                    1   condorpool 2.904     1    2.904          8.399    1.0  1.0         -        3.0     -       -             0        cn17660-enp5s0 
