
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# c89f8b58-6cfb-4db0-9642-30fbecce85f8 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.201     1    3.201          0.154    0.0  15.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 3.127     1    3.127          8.381    1.0  6.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 5.277     1    5.277          17.063   0.0  6.0         -        6.0     -       -             0        cn17636-enp5s0 
binary_ID0000002                    1   condorpool 5.795     1    5.795          18.623   0.0  6.0         -        6.0     -       -             0        cn17636-enp5s0 
binary_ID0000007                    1   condorpool 5.878     1    5.878          16.761   0.0  2.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 4.978     1    4.978          16.698   0.0  2.0         -        5.0     -       -             0        cn17642-enp5s0 
binary_ID0000006                    1   condorpool 5.354     1    5.354          15.087   0.0  2.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 4.988     1    4.988          16.185   0.0  2.0         -        5.0     -       -             0        cn17642-enp5s0 
binary_ID0000008                    1   condorpool 4.923     1    4.923          13.822   0.0  1.0         -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000014                    1   condorpool 4.252     1    4.252          15.119   0.0  1.0         -        4.0     -       -             0        cn17656-enp5s0 
binary_ID0000015                    1   condorpool 4.378     1    4.378          14.876   1.0  5.0         -        5.0     -       -             0        cn17656-enp5s0 
binary_ID0000012                    1   condorpool 4.106     1    4.106          14.112   1.0  5.0         -        4.0     -       -             0        cn17640-enp5s0 
binary_ID0000013                    1   condorpool 4.689     1    4.689          15.755   0.0  9.0         -        5.0     -       -             0        cn17656-enp5s0 
binary_ID0000010                    1   condorpool 4.397     1    4.397          14.811   0.0  4.0         -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000011                    1   condorpool 4.487     1    4.487          15.006   0.0  9.0         -        5.0     -       -             0        cn17656-enp5s0 
binary_ID0000009                    1   condorpool 4.59      1    4.59           15.192   0.0  9.0         -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000018                    1   condorpool 5.731     1    5.731          17.776   0.0  9.0         -        6.0     -       -             0        cn17640-enp5s0 
binary_ID0000029                    1   condorpool 5.735     1    5.735          17.3     0.0  9.0         -        6.0     -       -             0        cn17645-ens4   
