
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# fcd872e4-204d-42f4-929e-df45bcdf9b2a (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.171     1    3.171          0.132    1.0  16.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 2.797     1    2.797          6.969    0.0  5.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 4.362     1    4.362          13.518   0.0  4.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 5.395     1    5.395          13.599   0.0  4.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 6.458     1    6.458          12.076   0.0  4.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 5.447     1    5.447          12.722   0.0  3.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 6.601     1    6.601          11.73    0.0  3.0         -        7.0     -       -             0        cn17661-ens4   
binary_ID0000004                    1   condorpool 6.939     1    6.939          11.966   0.0  3.0         -        7.0     -       -             0        cn17661-ens4   
binary_ID0000008                    1   condorpool 6.495     1    6.495          11.334   0.0  1.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 6.048     1    6.048          11.849   0.0  1.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 6.31      1    6.31           11.906   0.0  6.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 6.707     1    6.707          11.041   0.0  7.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000013                    1   condorpool 6.643     1    6.643          11.781   1.0  13.0        -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000010                    1   condorpool 6.171     1    6.171          11.269   1.0  9.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000011                    1   condorpool 5.093     1    5.093          13.037   0.0  15.0        -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000009                    1   condorpool 4.678     1    4.678          12.198   0.0  15.0        -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000018                    1   condorpool 4.92      1    4.92           12.813   0.0  0.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 5.035     1    5.035          12.888   0.0  0.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 4.934     1    4.934          13.508   0.0  1.0         -        5.0     -       -             0        cn17661-ens4   
binary_ID0000016                    1   condorpool 4.578     1    4.578          13.722   0.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 4.439     1    4.439          12.52    0.0  6.0         -        5.0     -       -             0        cn17661-ens4   
binary_ID0000017                    1   condorpool 4.825     1    4.825          13.897   0.0  0.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000028                    1   condorpool 4.062     1    4.062          12.821   0.0  5.0         -        4.0     -       -             0        cn17661-ens4   
binary_ID0000025                    1   condorpool 5.536     1    5.536          13.478   0.0  5.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000026                    1   condorpool 5.06      1    5.06           13.686   0.0  5.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000023                    1   condorpool 4.841     1    4.841          12.432   0.0  9.0         -        5.0     -       -             0        cn17661-ens4   
binary_ID0000024                    1   condorpool 5.047     1    5.047          12.409   0.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000021                    1   condorpool 5.206     1    5.206          13.812   0.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000022                    1   condorpool 5.403     1    5.403          12.717   0.0  9.0         -        6.0     -       -             0        cn17661-ens4   
binary_ID0000030                    1   condorpool 7.089     1    7.089          13.945   1.0  9.0         -        8.0     -       -             0        cn17645-ens4   
binary_ID0000020                    1   condorpool 7.028     1    7.028          14.117   1.0  8.0         -        8.0     -       -             0        cn17645-ens4   
binary_ID0000031                    1   condorpool 5.227     1    5.227          13.17    0.0  4.0         -        5.0     -       -             0        cn17651-ens4   
process_ID0000036                   1   condorpool 4.688     1    4.688          12.817   0.0  0.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000047                   1   condorpool 4.774     1    4.774          13.297   0.0  0.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000037                   1   condorpool 4.416     1    4.416          13.498   0.0  5.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000038                   1   condorpool 5.297     1    5.297          13.827   0.0  5.0         -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000039                   1   condorpool 5.082     1    5.082          12.777   2.0  10.0        -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000032                   1   condorpool 4.832     1    4.832          13.209   2.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000043                   1   condorpool 5.066     1    5.066          12.582   0.0  10.0        -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000033                   1   condorpool 5.006     1    5.006          13.495   0.0  11.0        -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000044                   1   condorpool 5.566     1    5.566          12.167   0.0  16.0        -        5.0     -       -             0        cn17661-ens4   
process_ID0000034                   1   condorpool 4.754     1    4.754          13.099   0.0  15.0        -        5.0     -       -             0        cn17661-ens4   
process_ID0000045                   1   condorpool 7.702     1    7.702          13.194   1.0  10.0        -        7.0     -       -             0        cn17645-ens4   
process_ID0000035                   1   condorpool 6.595     1    6.595          13.328   1.0  10.0        -        6.0     -       -             0        cn17645-ens4   
process_ID0000046                   1   condorpool 7.139     1    7.139          13.591   1.0  10.0        -        7.0     -       -             0        cn17651-ens4   
process_ID0000040                   1   condorpool 5.661     1    5.661          15.04    0.0  10.0        -        6.0     -       -             0        cn17651-ens4   
process_ID0000041                   1   condorpool 7.743     1    7.743          13.923   1.0  10.0        -        8.0     -       -             0        cn17653-ens4   
process_ID0000042                   1   condorpool 7.907     1    7.907          13.839   1.0  5.0         -        8.0     -       -             0        cn17653-ens4   
process_ID0000058                   1   condorpool 4.998     1    4.998          12.643   0.0  0.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000048                   1   condorpool 4.775     1    4.775          12.991   0.0  0.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000059                   1   condorpool 5.064     1    5.064          14.322   0.0  5.0         -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000049                   1   condorpool 4.471     1    4.471          12.588   0.0  6.0         -        4.0     -       -             0        cn17660-enp5s0 
process_ID0000054                   1   condorpool 4.714     1    4.714          14.503   1.0  10.0        -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000055                   1   condorpool 4.503     1    4.503          13.14    1.0  6.0         -        4.0     -       -             0        cn17660-enp5s0 
process_ID0000056                   1   condorpool 4.435     1    4.435          12.796   0.0  11.0        -        4.0     -       -             0        cn17660-enp5s0 
process_ID0000057                   1   condorpool 5.689     1    5.689          13.281   0.0  11.0        -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000050                   1   condorpool 4.318     1    4.318          12.242   0.0  14.0        -        4.0     -       -             0        cn17661-ens4   
process_ID0000061                   1   condorpool 5.3       1    5.3            12.843   0.0  14.0        -        5.0     -       -             0        cn17661-ens4   
process_ID0000051                   1   condorpool 6.993     1    6.993          13.749   0.0  9.0         -        7.0     -       -             0        cn17645-ens4   
process_ID0000062                   1   condorpool 6.088     1    6.088          13.144   0.0  9.0         -        6.0     -       -             0        cn17645-ens4   
process_ID0000052                   1   condorpool 6.685     1    6.685          13.531   0.0  9.0         -        7.0     -       -             0        cn17651-ens4   
process_ID0000063                   1   condorpool 7.384     1    7.384          13.662   0.0  9.0         -        8.0     -       -             0        cn17651-ens4   
process_ID0000053                   1   condorpool 6.396     1    6.396          15.805   0.0  9.0         -        7.0     -       -             0        cn17653-ens4   
process_ID0000060                   1   condorpool 6.776     1    6.776          15.163   0.0  4.0         -        7.0     -       -             0        cn17653-ens4   
process_ID0000069                   1   condorpool 5.182     1    5.182          14.455   0.0  1.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000065                   1   condorpool 4.791     1    4.791          13.021   0.0  1.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000076                   1   condorpool 4.599     1    4.599          13.317   0.0  5.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000066                   1   condorpool 4.808     1    4.808          12.27    0.0  5.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000077                   1   condorpool 4.338     1    4.338          13.465   0.0  10.0        -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000067                   1   condorpool 5.083     1    5.083          13.076   0.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000078                   1   condorpool 4.654     1    4.654          14.437   0.0  10.0        -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000068                   1   condorpool 5.312     1    5.312          12.619   1.0  11.0        -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000079                   1   condorpool 4.949     1    4.949          12.937   1.0  14.0        -        5.0     -       -             0        cn17661-ens4   
process_ID0000072                   1   condorpool 4.664     1    4.664          13.815   1.0  14.0        -        5.0     -       -             0        cn17661-ens4   
process_ID0000073                   1   condorpool 6.76      1    6.76           12.891   1.0  9.0         -        7.0     -       -             0        cn17645-ens4   
process_ID0000074                   1   condorpool 7.098     1    7.098          14.764   1.0  9.0         -        7.0     -       -             0        cn17645-ens4   
process_ID0000064                   1   condorpool 5.95      1    5.95           14.049   1.0  8.0         -        6.0     -       -             0        cn17651-ens4   
process_ID0000075                   1   condorpool 6.672     1    6.672          15.428   1.0  8.0         -        7.0     -       -             0        cn17651-ens4   
process_ID0000070                   1   condorpool 6.002     1    6.002          14.382   1.0  8.0         -        6.0     -       -             0        cn17653-ens4   
process_ID0000071                   1   condorpool 6.763     1    6.763          14.586   1.0  3.0         -        7.0     -       -             0        cn17653-ens4   
process_ID0000087                   1   condorpool 5.801     1    5.801          14.206   0.0  3.0         -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000088                   1   condorpool 4.557     1    4.557          12.827   0.0  3.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000089                   1   condorpool 4.476     1    4.476          13.045   0.0  3.0         -        5.0     -       -             0        cn17661-ens4   
process_ID0000083                   1   condorpool 5.169     1    5.169          13.546   0.0  3.0         -        6.0     -       -             0        cn17661-ens4   
process_ID0000094                   1   condorpool 4.646     1    4.646          14.349   0.0  3.0         -        5.0     -       -             0        cn17645-ens4   
process_ID0000084                   1   condorpool 4.565     1    4.565          12.399   0.0  3.0         -        5.0     -       -             0        cn17661-ens4   
process_ID0000095                   1   condorpool 5.271     1    5.271          12.674   1.0  3.0         -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000085                   1   condorpool 5.378     1    5.378          16.223   1.0  3.0         -        6.0     -       -             0        cn17645-ens4   
process_ID0000086                   1   condorpool 5.459     1    5.459          14.247   1.0  4.0         -        5.0     -       -             0        cn17661-ens4   
process_ID0000090                   1   condorpool 5.12      1    5.12           13.055   1.0  3.0         -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000080                   1   condorpool 4.747     1    4.747          13.452   0.0  2.0         -        5.0     -       -             0        cn17661-ens4   
process_ID0000091                   1   condorpool 4.548     1    4.548          13.94    0.0  3.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000081                   1   condorpool 5.014     1    5.014          14.141   0.0  3.0         -        5.0     -       -             0        cn17645-ens4   
process_ID0000092                   1   condorpool 4.465     1    4.465          12.949   0.0  4.0         -        4.0     -       -             0        cn17661-ens4   
process_ID0000082                   1   condorpool 4.458     1    4.458          12.556   0.0  4.0         -        5.0     -       -             0        cn17660-enp5s0 
process_ID0000093                   1   condorpool 4.484     1    4.484          11.096   0.0  2.0         -        5.0     -       -             0        cn17661-ens4   
reduce_ID0000098                    1   condorpool 4.916     1    4.916          13.835   0.0  7.0         -        5.0     -       -             0        cn17660-enp5s0 
reduce_ID0000097                    1   condorpool 5.011     1    5.011          14.617   0.0  7.0         -        5.0     -       -             0        cn17660-enp5s0 
reduce_ID0000096                    1   condorpool 4.514     1    4.514          12.431   0.0  7.0         -        5.0     -       -             0        cn17661-ens4   
reduce_ID0000102                    1   condorpool 4.66      1    4.66           13.659   0.0  7.0         -        5.0     -       -             0        cn17661-ens4   
reduce_ID0000101                    1   condorpool 5.911     1    5.911          13.643   0.0  7.0         -        6.0     -       -             0        cn17645-ens4   
reduce_ID0000100                    1   condorpool 5.883     1    5.883          15.077   0.0  2.0         -        6.0     -       -             0        cn17645-ens4   
reduce_ID0000099                    1   condorpool 6.749     1    6.749          13.278   0.0  1.0         -        7.0     -       -             0        cn17651-ens4   
reduce_ID0000103                    1   condorpool 6.414     1    6.414          13.364   0.0  1.0         -        7.0     -       -             0        cn17651-ens4   
gather_ID0000104                    1   condorpool 27.889    1    27.889         49.289   0.0  1.0         -        28.0    -       -             0        cn17660-enp5s0 
stage_out_remote_condorpool_10_0    1   condorpool 40.079    1    40.079         15.716   1.0  1.0         -        40.0    -       -             0        cn17660-enp5s0 
