
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 457b0509-542f-4295-b034-949568138f00 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.202     1    3.202          0.157    0.0  16.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 5.146     1    5.146          10.589   0.0  5.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 6.937     1    6.937          17.128   0.0  0.0         -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 7.136     1    7.136          17.309   1.0  1.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 7.405     1    7.405          18.849   0.0  0.0         -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 7.252     1    7.252          17.583   0.0  0.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 7.139     1    7.139          17.927   0.0  8.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 6.743     1    6.743          18.548   0.0  8.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 7.799     1    7.799          16.874   0.0  15.0        -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 7.171     1    7.171          17.121   0.0  14.0        -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 7.176     1    7.176          17.667   0.0  14.0        -        8.0     -       -             0        cn17661-ens4   
