
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 6eb567f5-9228-41e7-afa8-6de70d92affd (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.198     1    3.198          0.153    0.0  12.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 4.848     1    4.848          9.928    0.0  5.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 6.903     1    6.903          16.786   0.0  0.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 6.693     1    6.693          16.923   0.0  0.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 6.029     1    6.029          17.616   0.0  1.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 7.638     1    7.638          16.933   0.0  1.0         -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 6.881     1    6.881          16.494   0.0  1.0         -        7.0     -       -             0        cn17661-ens4   
binary_ID0000004                    1   condorpool 6.672     1    6.672          15.2     0.0  6.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 7.395     1    7.395          16.597   0.0  15.0        -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 6.725     1    6.725          16.666   0.0  15.0        -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 7.53      1    7.53           17.113   0.0  15.0        -        8.0     -       -             0        cn17661-ens4   
binary_ID0000012                    1   condorpool 7.282     1    7.282          15.126   0.0  15.0        -        8.0     -       -             0        cn17661-ens4   
binary_ID0000013                    1   condorpool 9.339     1    9.339          16.586   0.0  15.0        -        10.0    -       -             0        cn17645-ens4   
binary_ID0000010                    1   condorpool 8.871     1    8.871          15.722   0.0  9.0         -        9.0     -       -             0        cn17645-ens4   
binary_ID0000011                    1   condorpool 9.195     1    9.195          16.302   0.0  9.0         -        10.0    -       -             0        cn17651-ens4   
binary_ID0000009                    1   condorpool 9.563     1    9.563          16.987   0.0  9.0         -        10.0    -       -             0        cn17651-ens4   
binary_ID0000018                    1   condorpool 6.312     1    6.312          17.337   1.0  1.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 6.362     1    6.362          16.729   1.0  1.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 6.758     1    6.758          15.891   0.0  7.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 6.763     1    6.763          16.1     0.0  7.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 6.53      1    6.53           15.759   0.0  13.0        -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000017                    1   condorpool 7.885     1    7.885          16.953   0.0  8.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000028                    1   condorpool 6.699     1    6.699          15.403   0.0  14.0        -        7.0     -       -             0        cn17661-ens4   
binary_ID0000025                    1   condorpool 9.037     1    9.037          16.528   0.0  14.0        -        9.0     -       -             0        cn17661-ens4   
binary_ID0000026                    1   condorpool 8.96      1    8.96           16.763   0.0  14.0        -        9.0     -       -             0        cn17645-ens4   
binary_ID0000023                    1   condorpool 9.156     1    9.156          17.218   0.0  14.0        -        9.0     -       -             0        cn17645-ens4   
binary_ID0000024                    1   condorpool 9.661     1    9.661          16.367   0.0  9.0         -        10.0    -       -             0        cn17651-ens4   
binary_ID0000021                    1   condorpool 9.808     1    9.808          16.02    0.0  9.0         -        10.0    -       -             0        cn17651-ens4   
binary_ID0000022                    1   condorpool 9.292     1    9.292          17.703   0.0  9.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000030                    1   condorpool 9.73      1    9.73           18.339   0.0  9.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000020                    1   condorpool 8.409     1    8.409          18.766   0.0  9.0         -        9.0     -       -             0        cn17636-enp5s0 
binary_ID0000031                    1   condorpool 8.343     1    8.343          17.454   0.0  4.0         -        9.0     -       -             0        cn17636-enp5s0 
process_ID0000036                   1   condorpool 6.558     1    6.558          15.338   0.0  1.0         -        7.0     -       -             0        cn17660-enp5s0 
process_ID0000047                   1   condorpool 7.182     1    7.182          18.227   0.0  0.0         -        7.0     -       -             0        cn17660-enp5s0 
process_ID0000037                   1   condorpool 6.337     1    6.337          17.554   0.0  7.0         -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000038                   1   condorpool 6.668     1    6.668          16.756   0.0  7.0         -        7.0     -       -             0        cn17660-enp5s0 
process_ID0000039                   1   condorpool 6.836     1    6.836          17.12    0.0  14.0        -        7.0     -       -             0        cn17660-enp5s0 
process_ID0000032                   1   condorpool 6.511     1    6.511          16.949   1.0  9.0         -        7.0     -       -             0        cn17660-enp5s0 
process_ID0000043                   1   condorpool 7.084     1    7.084          16.452   0.0  15.0        -        8.0     -       -             0        cn17661-ens4   
process_ID0000033                   1   condorpool 7.599     1    7.599          15.768   0.0  15.0        -        8.0     -       -             0        cn17661-ens4   
