
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 6522f39b-7f84-4840-a1b3-ce844766f41c (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.207     1    3.207          0.152    1.0  12.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 6.061     1    6.061          10.504   0.0  7.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 8.867     1    8.867          20.217   0.0  2.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 8.944     1    8.944          20.588   0.0  2.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 9.128     1    9.128          20.227   0.0  0.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 8.184     1    8.184          19.412   0.0  0.0         -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 8.615     1    8.615          18.817   0.0  8.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 8.84      1    8.84           19.913   0.0  9.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 9.527     1    9.527          19.846   0.0  10.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 9.244     1    9.244          20.487   0.0  10.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 9.409     1    9.409          19.688   0.0  9.0         -        10.0    -       -             0        cn17661-ens4   
binary_ID0000012                    1   condorpool 9.361     1    9.361          19.367   0.0  9.0         -        10.0    -       -             0        cn17661-ens4   
binary_ID0000013                    1   condorpool 11.383    1    11.383         18.72    0.0  9.0         -        12.0    -       -             0        cn17645-ens4   
binary_ID0000010                    1   condorpool 12.549    1    12.549         20.758   0.0  4.0         -        13.0    -       -             0        cn17645-ens4   
binary_ID0000011                    1   condorpool 12.505    1    12.505         20.501   0.0  4.0         -        13.0    -       -             0        cn17651-ens4   
binary_ID0000009                    1   condorpool 10.931    1    10.931         19.257   0.0  4.0         -        11.0    -       -             0        cn17651-ens4   
binary_ID0000018                    1   condorpool 9.106     1    9.106          21.438   0.0  0.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 8.976     1    8.976          20.764   0.0  0.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 8.786     1    8.786          20.133   0.0  9.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 8.404     1    8.404          20.377   0.0  9.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 9.922     1    9.922          20.558   0.0  18.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000017                    1   condorpool 10.384    1    10.384         19.735   0.0  13.0        -        11.0    -       -             0        cn17660-enp5s0 
binary_ID0000028                    1   condorpool 9.902     1    9.902          20.633   0.0  15.0        -        10.0    -       -             0        cn17661-ens4   
binary_ID0000025                    1   condorpool 10.313    1    10.313         19.301   0.0  15.0        -        11.0    -       -             0        cn17661-ens4   
binary_ID0000026                    1   condorpool 13.759    1    13.759         21.185   1.0  15.0        -        14.0    -       -             0        cn17645-ens4   
binary_ID0000023                    1   condorpool 14.25     1    14.25          22.147   1.0  15.0        -        15.0    -       -             0        cn17645-ens4   
binary_ID0000024                    1   condorpool 13.71     1    13.71          20.63    1.0  10.0        -        14.0    -       -             0        cn17651-ens4   
binary_ID0000021                    1   condorpool 12.93     1    12.93          21.982   1.0  10.0        -        13.0    -       -             0        cn17651-ens4   
binary_ID0000022                    1   condorpool 13.823    1    13.823         21.617   1.0  9.0         -        14.0    -       -             0        cn17653-ens4   
binary_ID0000030                    1   condorpool 12.817    1    12.817         22.644   1.0  9.0         -        13.0    -       -             0        cn17653-ens4   
binary_ID0000020                    1   condorpool 11.747    1    11.747         19.806   1.0  9.0         -        12.0    -       -             0        cn17636-enp5s0 
binary_ID0000031                    1   condorpool 10.93     1    10.93          18.861   1.0  4.0         -        11.0    -       -             0        cn17636-enp5s0 
process_ID0000036                   1   condorpool 8.671     1    8.671          21.007   0.0  0.0         -        9.0     -       -             0        cn17660-enp5s0 
process_ID0000047                   1   condorpool 9.121     1    9.121          21.644   0.0  0.0         -        10.0    -       -             0        cn17660-enp5s0 
process_ID0000037                   1   condorpool 8.789     1    8.789          20.156   1.0  9.0         -        9.0     -       -             0        cn17660-enp5s0 
process_ID0000038                   1   condorpool 8.601     1    8.601          20.38    1.0  10.0        -        9.0     -       -             0        cn17660-enp5s0 
process_ID0000039                   1   condorpool 11.099    1    11.099         22.2     0.0  18.0        -        12.0    -       -             0        cn17660-enp5s0 
process_ID0000032                   1   condorpool 9.497     1    9.497          19.257   0.0  14.0        -        9.0     -       -             0        cn17660-enp5s0 
process_ID0000043                   1   condorpool 9.55      1    9.55           20.074   0.0  16.0        -        9.0     -       -             0        cn17661-ens4   
