
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# fe774740-cc68-46b1-af7b-5dd9be5abecb (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.173     1    3.173          0.134    0.0  12.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 17.985    1    17.985         5.124    0.0  6.0         -        18.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 9.366     1    9.366          8.783    0.0  0.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 9.058     1    9.058          8.55     0.0  0.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 9.733     1    9.733          9.199    0.0  1.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 9.327     1    9.327          9.11     0.0  1.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 8.848     1    8.848          8.419    0.0  9.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 9.582     1    9.582          8.278    0.0  10.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 13.497    1    13.497         11.371   0.0  9.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 20.001    1    20.001         11.204   0.0  9.0         -        20.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 13.091    1    13.091         10.991   0.0  9.0         -        13.0    -       -             0        cn17661-ens4   
binary_ID0000012                    1   condorpool 13.622    1    13.622         10.922   0.0  9.0         -        14.0    -       -             0        cn17661-ens4   
binary_ID0000013                    1   condorpool 13.77     1    13.77          11.792   0.0  9.0         -        14.0    -       -             0        cn17645-ens4   
binary_ID0000010                    1   condorpool 14.057    1    14.057         11.848   0.0  3.0         -        14.0    -       -             0        cn17645-ens4   
binary_ID0000011                    1   condorpool 13.942    1    13.942         11.62    0.0  3.0         -        14.0    -       -             0        cn17651-ens4   
binary_ID0000009                    1   condorpool 13.455    1    13.455         11.217   0.0  3.0         -        14.0    -       -             0        cn17651-ens4   
binary_ID0000018                    1   condorpool 12.862    1    12.862         11.004   0.0  1.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 9.087     1    9.087          8.819    1.0  1.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 8.772     1    8.772          8.503    1.0  9.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 12.025    1    12.025         9.601    0.0  13.0        -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 13.453    1    13.453         11.13    0.0  18.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000017                    1   condorpool 13.214    1    13.214         11.683   0.0  14.0        -        14.0    -       -             0        cn17661-ens4   
binary_ID0000028                    1   condorpool 15.103    1    15.103         11.947   0.0  14.0        -        16.0    -       -             0        cn17661-ens4   
binary_ID0000025                    1   condorpool 21.369    1    21.369         11.537   0.0  14.0        -        22.0    -       -             0        cn17645-ens4   
binary_ID0000026                    1   condorpool 12.518    1    12.518         11.254   0.0  14.0        -        13.0    -       -             0        cn17645-ens4   
binary_ID0000023                    1   condorpool 16.874    1    16.874         11.579   0.0  14.0        -        17.0    -       -             0        cn17651-ens4   
binary_ID0000024                    1   condorpool 19.56     1    19.56          11.389   0.0  9.0         -        20.0    -       -             0        cn17651-ens4   
binary_ID0000021                    1   condorpool 13.686    1    13.686         10.805   0.0  9.0         -        14.0    -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 12.976    1    12.976         10.752   0.0  9.0         -        13.0    -       -             0        cn17653-ens4   
binary_ID0000030                    1   condorpool 13.3      1    13.3           10.669   0.0  9.0         -        14.0    -       -             0        cn17636-enp5s0 
binary_ID0000020                    1   condorpool 12.243    1    12.243         10.413   0.0  9.0         -        13.0    -       -             0        cn17636-enp5s0 
binary_ID0000031                    1   condorpool 17.292    1    17.292         11.597   0.0  3.0         -        18.0    -       -             0        cn17639-ens4   
