
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 4b3a7663-3bee-4728-abbf-89d5cf01fb4b (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.21      1    3.21           0.154    0.0  16.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 6.79      1    6.79           12.168   1.0  7.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 10.769    1    10.769         22.995   0.0  2.0         -        13.0    -       -             0        cn17661-ens4   
binary_ID0000002                    1   condorpool 11.35     1    11.35          23.816   0.0  2.0         -        13.0    -       -             0        cn17661-ens4   
binary_ID0000007                    1   condorpool 9.735     1    9.735          21.468   0.0  0.0         -        10.0    -       -             0        cn17661-ens4   
binary_ID0000005                    1   condorpool 10.443    1    10.443         23.611   0.0  0.0         -        11.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 9.769     1    9.769          21.359   0.0  10.0        -        10.0    -       -             0        cn17661-ens4   
binary_ID0000004                    1   condorpool 9.86      1    9.86           21.859   1.0  11.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 11.721    1    11.721         23.994   1.0  5.0         -        12.0    -       -             0        cn17662-enp5s0 
binary_ID0000014                    1   condorpool 12.411    1    12.411         26.675   1.0  5.0         -        13.0    -       -             0        cn17655-ens4   
binary_ID0000015                    1   condorpool 12.334    1    12.334         26.414   1.0  5.0         -        13.0    -       -             0        cn17655-ens4   
binary_ID0000012                    1   condorpool 11.265    1    11.265         22.969   1.0  5.0         -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000013                    1   condorpool 11.92     1    11.92          21.83    1.0  5.0         -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000010                    1   condorpool 11.886    1    11.886         23.47    0.0  12.0        -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000011                    1   condorpool 11.723    1    11.723         23.62    0.0  12.0        -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000009                    1   condorpool 10.3      1    10.3           24.124   0.0  13.0        -        10.0    -       -             0        cn17662-enp5s0 
