
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 0e55ee19-ecec-4102-92c8-49efcb1db5ee (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.195     1    3.195          0.151    1.0  21.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 10.868    1    10.868         6.574    0.0  6.0         -        11.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 36.912    1    36.912         15.191   1.0  0.0         -        38.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 26.353    1    26.353         14.514   0.0  0.0         -        27.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 16.328    1    16.328         15.99    0.0  0.0         -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 16.337    1    16.337         16.167   0.0  0.0         -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 28.32     1    28.32          14.407   0.0  17.0        -        29.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 14.228    1    14.228         14.044   1.0  17.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 14.832    1    14.832         14.381   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 14.902    1    14.902         14.584   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 20.719    1    20.719         14.681   0.0  15.0        -        21.0    -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 15.685    1    15.685         14.801   0.0  16.0        -        15.0    -       -             0        cn17660-enp5s0 
