
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 4c81ddfd-721c-483e-a519-7d87b275baac (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.19      1    3.19           0.153    0.0  15.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 8.753     1    8.753          15.205   0.0  6.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 16.947    1    16.947         26.197   0.0  0.0         -        17.0    -       -             0        cn17637-ens4   
binary_ID0000002                    1   condorpool 16.665    1    16.665         26.478   0.0  0.0         -        17.0    -       -             0        cn17637-ens4   
binary_ID0000007                    1   condorpool 12.213    1    12.213         26.212   0.0  1.0         -        12.0    -       -             0        cn17658-enp5s0 
binary_ID0000005                    1   condorpool 13.343    1    13.343         26.164   0.0  1.0         -        13.0    -       -             0        cn17640-enp5s0 
binary_ID0000006                    1   condorpool 14.432    1    14.432         27.872   0.0  13.0        -        15.0    -       -             0        cn17658-enp5s0 
binary_ID0000004                    1   condorpool 13.264    1    13.264         28.528   0.0  13.0        -        14.0    -       -             0        cn17640-enp5s0 
binary_ID0000008                    1   condorpool 13.375    1    13.375         27.727   0.0  1.0         -        13.0    -       -             0        cn17662-enp5s0 
binary_ID0000014                    1   condorpool 11.92     1    11.92          25.154   0.0  1.0         -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 12.203    1    12.203         24.405   1.0  13.0        -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 13.787    1    13.787         29.0     0.0  14.0        -        14.0    -       -             0        cn17662-enp5s0 
binary_ID0000013                    1   condorpool 13.157    1    13.157         25.16    0.0  19.0        -        14.0    -       -             0        cn17655-ens4   
binary_ID0000010                    1   condorpool 15.89     1    15.89          28.409   0.0  14.0        -        16.0    -       -             0        cn17640-enp5s0 
binary_ID0000011                    1   condorpool 15.57     1    15.57          28.119   0.0  14.0        -        16.0    -       -             0        cn17640-enp5s0 
binary_ID0000009                    1   condorpool 13.783    1    13.783         28.099   0.0  14.0        -        15.0    -       -             0        cn17662-enp5s0 
binary_ID0000018                    1   condorpool 13.574    1    13.574         25.05    0.0  1.0         -        13.0    -       -             0        cn17648-enp5s0 
binary_ID0000029                    1   condorpool 13.427    1    13.427         28.358   0.0  1.0         -        13.0    -       -             0        cn17639-ens4   
binary_ID0000019                    1   condorpool 19.903    1    19.903         28.896   1.0  14.0        -        20.0    -       -             0        cn17639-ens4   
binary_ID0000016                    1   condorpool 13.784    1    13.784         26.481   0.0  13.0        -        14.0    -       -             0        cn17648-enp5s0 
binary_ID0000027                    1   condorpool 18.783    1    18.783         26.199   0.0  19.0        -        19.0    -       -             0        cn17647-ens4   
binary_ID0000017                    1   condorpool 15.313    1    15.313         26.342   1.0  14.0        -        15.0    -       -             0        cn17651-ens4   
binary_ID0000028                    1   condorpool 18.68     1    18.68          25.857   0.0  14.0        -        19.0    -       -             0        cn17639-ens4   
binary_ID0000025                    1   condorpool 16.567    1    16.567         30.898   1.0  14.0        -        17.0    -       -             0        cn17662-enp5s0 
binary_ID0000026                    1   condorpool 18.196    1    18.196         26.261   0.0  14.0        -        18.0    -       -             0        cn17647-ens4   
binary_ID0000023                    1   condorpool 18.523    1    18.523         28.06    0.0  14.0        -        19.0    -       -             0        cn17642-enp5s0 
binary_ID0000024                    1   condorpool 15.568    1    15.568         30.421   1.0  9.0         -        16.0    -       -             0        cn17662-enp5s0 
binary_ID0000021                    1   condorpool 15.643    1    15.643         25.216   1.0  9.0         -        16.0    -       -             0        cn17661-ens4   
binary_ID0000022                    1   condorpool 18.361    1    18.361         28.189   0.0  9.0         -        19.0    -       -             0        cn17642-enp5s0 
