
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 3f66df7c-d56c-4ae1-a7ee-16d3fcce47bd (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.199     1    3.199          0.155    0.0  15.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 8.265     1    8.265          14.131   0.0  5.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 12.11     1    12.11          25.904   1.0  1.0         -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 12.746    1    12.746         26.353   1.0  1.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 12.733    1    12.733         25.156   0.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 13.65     1    13.65          27.376   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 13.107    1    13.107         26.249   0.0  13.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 12.857    1    12.857         24.966   0.0  14.0        -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 12.757    1    12.757         26.781   1.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 12.65     1    12.65          25.978   0.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 13.753    1    13.753         24.587   0.0  13.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 13.309    1    13.309         25.863   0.0  13.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000013                    1   condorpool 12.513    1    12.513         24.733   0.0  21.0        -        12.0    -       -             0        cn17661-ens4   
binary_ID0000010                    1   condorpool 13.153    1    13.153         24.757   0.0  16.0        -        13.0    -       -             0        cn17661-ens4   
binary_ID0000011                    1   condorpool 17.202    1    17.202         25.203   0.0  16.0        -        17.0    -       -             0        cn17645-ens4   
binary_ID0000009                    1   condorpool 17.908    1    17.908         26.365   0.0  16.0        -        18.0    -       -             0        cn17645-ens4   
binary_ID0000018                    1   condorpool 14.083    1    14.083         27.424   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 12.197    1    12.197         25.982   0.0  1.0         -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 13.76     1    13.76          26.762   0.0  13.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 13.885    1    13.885         25.572   0.0  14.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 13.974    1    13.974         25.808   0.0  19.0        -        14.0    -       -             0        cn17661-ens4   
binary_ID0000017                    1   condorpool 13.66     1    13.66          26.173   0.0  14.0        -        14.0    -       -             0        cn17661-ens4   
binary_ID0000028                    1   condorpool 18.793    1    18.793         25.487   1.0  14.0        -        19.0    -       -             0        cn17645-ens4   
binary_ID0000025                    1   condorpool 18.963    1    18.963         26.249   1.0  14.0        -        19.0    -       -             0        cn17645-ens4   
binary_ID0000026                    1   condorpool 19.973    1    19.973         26.638   1.0  14.0        -        20.0    -       -             0        cn17651-ens4   
binary_ID0000023                    1   condorpool 20.18     1    20.18          26.409   1.0  14.0        -        20.0    -       -             0        cn17651-ens4   
binary_ID0000024                    1   condorpool 20.763    1    20.763         30.13    1.0  9.0         -        21.0    -       -             0        cn17653-ens4   
binary_ID0000021                    1   condorpool 20.626    1    20.626         29.01    1.0  9.0         -        21.0    -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 16.758    1    16.758         26.456   0.0  9.0         -        17.0    -       -             0        cn17636-enp5s0 
binary_ID0000030                    1   condorpool 16.78     1    16.78          25.315   0.0  9.0         -        17.0    -       -             0        cn17636-enp5s0 
binary_ID0000020                    1   condorpool 19.956    1    19.956         25.984   1.0  9.0         -        20.0    -       -             0        cn17639-ens4   
binary_ID0000031                    1   condorpool 20.17     1    20.17          26.535   1.0  3.0         -        21.0    -       -             0        cn17639-ens4   
