
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 68a9cdc4-2d12-42a2-8e1c-e56d561c7301 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.204     1    3.204          0.152    0.0  5.0         -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 9.639     1    9.639          13.659   0.0  4.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 16.659    1    16.659         29.564   1.0  1.0         -        16.0    -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 15.341    1    15.341         29.153   1.0  1.0         -        15.0    -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 12.372    1    12.372         27.712   0.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 12.387    1    12.387         25.874   0.0  0.0         -        13.0    -       -             0        cn17661-ens4   
binary_ID0000006                    1   condorpool 12.236    1    12.236         26.478   0.0  13.0        -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 11.943    1    11.943         25.529   0.0  13.0        -        12.0    -       -             0        cn17661-ens4   
binary_ID0000008                    1   condorpool 13.922    1    13.922         29.783   0.0  4.0         -        14.0    -       -             0        cn17662-enp5s0 
binary_ID0000014                    1   condorpool 16.672    1    16.672         27.331   1.0  4.0         -        17.0    -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 17.314    1    17.314         29.147   1.0  4.0         -        17.0    -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 15.033    1    15.033         30.849   0.0  4.0         -        15.0    -       -             0        cn17644-enp5s0 
