
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 34399c09-202d-4458-937e-85598b8e4a77 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.342     1    3.342          0.154    0.0  16.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 9.589     1    9.589          14.924   0.0  2.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 19.064    1    19.064         28.233   0.0  0.0         -        19.0    -       -             0        cn17635-ens4   
binary_ID0000002                    1   condorpool 18.436    1    18.436         27.807   0.0  0.0         -        19.0    -       -             0        cn17635-ens4   
binary_ID0000007                    1   condorpool 14.306    1    14.306         29.128   1.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 13.967    1    13.967         27.882   1.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 14.293    1    14.293         30.401   0.0  15.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 15.108    1    15.108         27.775   0.0  15.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 15.647    1    15.647         30.164   0.0  1.0         -        16.0    -       -             0        cn17647-ens4   
binary_ID0000014                    1   condorpool 15.342    1    15.342         29.66    0.0  1.0         -        15.0    -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 15.119    1    15.119         28.585   0.0  16.0        -        16.0    -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 18.466    1    18.466         29.685   0.0  16.0        -        18.0    -       -             0        cn17647-ens4   
binary_ID0000013                    1   condorpool 14.132    1    14.132         26.383   0.0  19.0        -        15.0    -       -             0        cn17661-ens4   
