
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# eb540046-0885-48d8-b931-a168c3778659 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.187     1    3.187          0.152    0.0  17.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 11.613    1    11.613         16.62    0.0  5.0         -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 18.748    1    18.748         32.024   0.0  0.0         -        19.0    -       -             0        cn17651-ens4   
binary_ID0000002                    1   condorpool 18.372    1    18.372         30.373   0.0  0.0         -        19.0    -       -             0        cn17651-ens4   
binary_ID0000007                    1   condorpool 14.945    1    14.945         33.539   0.0  1.0         -        15.0    -       -             0        cn17658-enp5s0 
binary_ID0000005                    1   condorpool 13.578    1    13.578         29.919   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 13.893    1    13.893         29.326   0.0  14.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 14.16     1    14.16          32.312   0.0  15.0        -        15.0    -       -             0        cn17658-enp5s0 
binary_ID0000008                    1   condorpool 13.678    1    13.678         28.467   0.0  0.0         -        14.0    -       -             0        cn17661-ens4   
binary_ID0000014                    1   condorpool 13.261    1    13.261         29.283   0.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 15.163    1    15.163         30.466   1.0  14.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 15.347    1    15.347         29.893   1.0  14.0        -        16.0    -       -             0        cn17661-ens4   
binary_ID0000013                    1   condorpool 15.662    1    15.662         33.567   0.0  21.0        -        15.0    -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 15.377    1    15.377         29.463   0.0  16.0        -        15.0    -       -             0        cn17661-ens4   
binary_ID0000011                    1   condorpool 15.962    1    15.962         29.601   0.0  16.0        -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000009                    1   condorpool 16.613    1    16.613         35.272   0.0  16.0        -        16.0    -       -             0        cn17645-ens4   
binary_ID0000018                    1   condorpool 12.735    1    12.735         28.452   1.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 14.754    1    14.754         31.395   1.0  0.0         -        15.0    -       -             0        cn17656-enp5s0 
binary_ID0000019                    1   condorpool 14.73     1    14.73          30.976   0.0  13.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 19.921    1    19.921         34.49    0.0  15.0        -        21.0    -       -             0        cn17656-enp5s0 
binary_ID0000027                    1   condorpool 21.674    1    21.674         36.004   0.0  21.0        -        22.0    -       -             0        cn17655-ens4   
binary_ID0000017                    1   condorpool 22.984    1    22.984         32.446   1.0  15.0        -        23.0    -       -             0        cn17647-ens4   
binary_ID0000028                    1   condorpool 20.159    1    20.159         33.829   0.0  15.0        -        20.0    -       -             0        cn17656-enp5s0 
binary_ID0000025                    1   condorpool 18.357    1    18.357         31.41    0.0  15.0        -        18.0    -       -             0        cn17660-enp5s0 
binary_ID0000026                    1   condorpool 20.998    1    20.998         34.455   0.0  15.0        -        21.0    -       -             0        cn17655-ens4   
binary_ID0000023                    1   condorpool 23.219    1    23.219         30.892   1.0  15.0        -        23.0    -       -             0        cn17647-ens4   
binary_ID0000024                    1   condorpool 17.349    1    17.349         29.331   0.0  10.0        -        17.0    -       -             0        cn17661-ens4   
binary_ID0000021                    1   condorpool 22.619    1    22.619         31.721   0.0  10.0        -        23.0    -       -             0        cn17639-ens4   
binary_ID0000022                    1   condorpool 19.815    1    19.815         31.159   0.0  10.0        -        20.0    -       -             0        cn17661-ens4   
binary_ID0000030                    1   condorpool 23.158    1    23.158         32.247   1.0  10.0        -        23.0    -       -             0        cn17645-ens4   
binary_ID0000020                    1   condorpool 23.623    1    23.623         32.347   1.0  10.0        -        24.0    -       -             0        cn17639-ens4   
binary_ID0000031                    1   condorpool 22.837    1    22.837         32.532   1.0  5.0         -        23.0    -       -             0        cn17645-ens4   
process_ID0000036                   1   condorpool 18.385    1    18.385         31.564   0.0  0.0         -        19.0    -       -             0        cn17639-ens4   
process_ID0000047                   1   condorpool 18.326    1    18.326         30.582   0.0  0.0         -        18.0    -       -             0        cn17639-ens4   
process_ID0000037                   1   condorpool 23.616    1    23.616         31.648   0.0  19.0        -        23.0    -       -             0        cn17639-ens4   
process_ID0000038                   1   condorpool 22.426    1    22.426         30.035   1.0  19.0        -        22.0    -       -             0        cn17639-ens4   
process_ID0000039                   1   condorpool 19.954    1    19.954         33.678   1.0  21.0        -        20.0    -       -             0        cn17662-enp5s0 
process_ID0000032                   1   condorpool 22.136    1    22.136         32.531   0.0  16.0        -        22.0    -       -             0        cn17637-ens4   
process_ID0000043                   1   condorpool 22.055    1    22.055         34.541   0.0  16.0        -        22.0    -       -             0        cn17656-enp5s0 
process_ID0000033                   1   condorpool 21.143    1    21.143         31.057   0.0  16.0        -        21.0    -       -             0        cn17651-ens4   
process_ID0000044                   1   condorpool 20.06     1    20.06          35.387   1.0  16.0        -        20.0    -       -             0        cn17640-enp5s0 
process_ID0000034                   1   condorpool 17.687    1    17.687         31.372   1.0  16.0        -        18.0    -       -             0        cn17660-enp5s0 
process_ID0000045                   1   condorpool 23.078    1    23.078         33.895   0.0  11.0        -        23.0    -       -             0        cn17653-ens4   
process_ID0000035                   1   condorpool 22.673    1    22.673         31.657   0.0  10.0        -        23.0    -       -             0        cn17637-ens4   
process_ID0000046                   1   condorpool 20.385    1    20.385         32.695   0.0  10.0        -        20.0    -       -             0        cn17636-enp5s0 
process_ID0000040                   1   condorpool 23.979    1    23.979         31.992   0.0  10.0        -        24.0    -       -             0        cn17653-ens4   
