
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 720cf8a2-cd6c-4263-aea7-b4083dcd2677 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.201     1    3.201          0.152    1.0  17.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 9.141     1    9.141          17.068   0.0  7.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 16.229    1    16.229         36.86    0.0  0.0         -        17.0    -       -             0        cn17655-ens4   
binary_ID0000002                    1   condorpool 16.612    1    16.612         37.28    0.0  0.0         -        17.0    -       -             0        cn17655-ens4   
binary_ID0000007                    1   condorpool 14.687    1    14.687         33.469   0.0  0.0         -        15.0    -       -             0        cn17648-enp5s0 
binary_ID0000005                    1   condorpool 14.573    1    14.573         34.424   0.0  0.0         -        15.0    -       -             0        cn17648-enp5s0 
binary_ID0000006                    1   condorpool 14.596    1    14.596         33.05    0.0  15.0        -        15.0    -       -             0        cn17648-enp5s0 
binary_ID0000004                    1   condorpool 14.67     1    14.67          33.01    0.0  15.0        -        15.0    -       -             0        cn17648-enp5s0 
binary_ID0000008                    1   condorpool 12.4      1    12.4           31.011   0.0  0.0         -        12.0    -       -             0        cn17636-enp5s0 
binary_ID0000014                    1   condorpool 13.568    1    13.568         34.03    0.0  0.0         -        14.0    -       -             0        cn17656-enp5s0 
binary_ID0000015                    1   condorpool 13.595    1    13.595         32.453   0.0  13.0        -        13.0    -       -             0        cn17636-enp5s0 
binary_ID0000012                    1   condorpool 14.929    1    14.929         34.508   0.0  14.0        -        15.0    -       -             0        cn17656-enp5s0 
binary_ID0000013                    1   condorpool 14.322    1    14.322         34.485   0.0  21.0        -        14.0    -       -             0        cn17655-ens4   
binary_ID0000010                    1   condorpool 16.191    1    16.191         36.299   0.0  16.0        -        16.0    -       -             0        cn17658-enp5s0 
binary_ID0000011                    1   condorpool 16.004    1    16.004         35.41    0.0  16.0        -        16.0    -       -             0        cn17658-enp5s0 
binary_ID0000009                    1   condorpool 13.938    1    13.938         30.003   0.0  16.0        -        14.0    -       -             0        cn17636-enp5s0 
binary_ID0000018                    1   condorpool 13.964    1    13.964         33.785   0.0  0.0         -        15.0    -       -             0        cn17645-ens4   
binary_ID0000029                    1   condorpool 12.874    1    12.874         29.56    0.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 16.246    1    16.246         29.925   1.0  13.0        -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 16.236    1    16.236         33.618   1.0  15.0        -        16.0    -       -             0        cn17645-ens4   
binary_ID0000027                    1   condorpool 16.031    1    16.031         29.935   0.0  20.0        -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000017                    1   condorpool 18.486    1    18.486         33.831   0.0  15.0        -        19.0    -       -             0        cn17653-ens4   
binary_ID0000028                    1   condorpool 16.569    1    16.569         31.606   0.0  15.0        -        17.0    -       -             0        cn17661-ens4   
binary_ID0000025                    1   condorpool 20.69     1    20.69          36.673   0.0  15.0        -        21.0    -       -             0        cn17656-enp5s0 
binary_ID0000026                    1   condorpool 16.405    1    16.405         30.729   0.0  14.0        -        17.0    -       -             0        cn17661-ens4   
binary_ID0000023                    1   condorpool 18.591    1    18.591         35.769   0.0  14.0        -        19.0    -       -             0        cn17653-ens4   
binary_ID0000024                    1   condorpool 19.299    1    19.299         32.936   0.0  9.0         -        20.0    -       -             0        cn17656-enp5s0 
binary_ID0000021                    1   condorpool 18.177    1    18.177         35.459   0.0  9.0         -        19.0    -       -             0        cn17640-enp5s0 
binary_ID0000022                    1   condorpool 17.448    1    17.448         33.767   0.0  9.0         -        18.0    -       -             0        cn17645-ens4   
binary_ID0000030                    1   condorpool 19.543    1    19.543         37.631   0.0  9.0         -        20.0    -       -             0        cn17651-ens4   
binary_ID0000020                    1   condorpool 17.336    1    17.336         33.169   0.0  10.0        -        17.0    -       -             0        cn17640-enp5s0 
binary_ID0000031                    1   condorpool 18.307    1    18.307         33.758   0.0  5.0         -        18.0    -       -             0        cn17651-ens4   
process_ID0000036                   1   condorpool 11.759    1    11.759         28.512   1.0  1.0         -        12.0    -       -             0        cn17661-ens4   
process_ID0000047                   1   condorpool 14.456    1    14.456         33.874   1.0  1.0         -        15.0    -       -             0        cn17662-enp5s0 
process_ID0000037                   1   condorpool 14.521    1    14.521         30.011   0.0  12.0        -        14.0    -       -             0        cn17661-ens4   
process_ID0000038                   1   condorpool 15.809    1    15.809         33.567   1.0  15.0        -        16.0    -       -             0        cn17662-enp5s0 
process_ID0000039                   1   condorpool 16.794    1    16.794         33.297   1.0  19.0        -        17.0    -       -             0        cn17639-ens4   
process_ID0000032                   1   condorpool 17.157    1    17.157         31.935   1.0  14.0        -        17.0    -       -             0        cn17648-enp5s0 
process_ID0000043                   1   condorpool 15.311    1    15.311         32.267   1.0  14.0        -        16.0    -       -             0        cn17658-enp5s0 
process_ID0000033                   1   condorpool 17.283    1    17.283         34.231   0.0  14.0        -        17.0    -       -             0        cn17653-ens4   
process_ID0000044                   1   condorpool 15.536    1    15.536         32.469   1.0  14.0        -        16.0    -       -             0        cn17642-enp5s0 
process_ID0000034                   1   condorpool 16.574    1    16.574         31.366   1.0  14.0        -        17.0    -       -             0        cn17661-ens4   
process_ID0000045                   1   condorpool 16.795    1    16.795         30.568   1.0  9.0         -        17.0    -       -             0        cn17660-enp5s0 
process_ID0000035                   1   condorpool 17.248    1    17.248         33.104   0.0  9.0         -        18.0    -       -             0        cn17635-ens4   
process_ID0000046                   1   condorpool 17.381    1    17.381         31.603   0.0  9.0         -        18.0    -       -             0        cn17660-enp5s0 
process_ID0000040                   1   condorpool 16.691    1    16.691         34.575   1.0  9.0         -        17.0    -       -             0        cn17656-enp5s0 
process_ID0000041                   1   condorpool 15.42     1    15.42          31.466   1.0  8.0         -        16.0    -       -             0        cn17636-enp5s0 
process_ID0000042                   1   condorpool 16.594    1    16.594         33.075   1.0  3.0         -        17.0    -       -             0        cn17647-ens4   
process_ID0000058                   1   condorpool 17.262    1    17.262         39.34    0.0  0.0         -        18.0    -       -             0        cn17653-ens4   
process_ID0000048                   1   condorpool 16.953    1    16.953         39.81    0.0  0.0         -        17.0    -       -             0        cn17653-ens4   
process_ID0000059                   1   condorpool 18.053    1    18.053         32.119   0.0  18.0        -        18.0    -       -             0        cn17653-ens4   
process_ID0000049                   1   condorpool 18.785    1    18.785         33.822   0.0  18.0        -        19.0    -       -             0        cn17653-ens4   
process_ID0000054                   1   condorpool 17.042    1    17.042         31.369   0.0  20.0        -        18.0    -       -             0        cn17660-enp5s0 
process_ID0000055                   1   condorpool 21.484    1    21.484         36.031   0.0  16.0        -        21.0    -       -             0        cn17635-ens4   
process_ID0000056                   1   condorpool 18.652    1    18.652         35.255   0.0  16.0        -        18.0    -       -             0        cn17639-ens4   
process_ID0000057                   1   condorpool 17.635    1    17.635         30.915   0.0  15.0        -        18.0    -       -             0        cn17660-enp5s0 
process_ID0000050                   1   condorpool 16.223    1    16.223         32.117   0.0  15.0        -        16.0    -       -             0        cn17658-enp5s0 
process_ID0000061                   1   condorpool 17.527    1    17.527         34.176   0.0  15.0        -        17.0    -       -             0        cn17651-ens4   
process_ID0000051                   1   condorpool 20.682    1    20.682         38.886   0.0  10.0        -        21.0    -       -             0        cn17639-ens4   
process_ID0000062                   1   condorpool 16.693    1    16.693         33.409   0.0  10.0        -        17.0    -       -             0        cn17640-enp5s0 
