
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# d3044ed0-fb46-4270-ad25-3bdb441b61cb (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.194     1    3.194          0.152    0.0  15.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 9.084     1    9.084          16.721   0.0  6.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 18.606    1    18.606         41.133   0.0  0.0         -        19.0    -       -             0        cn17656-enp5s0 
binary_ID0000002                    1   condorpool 14.994    1    14.994         33.777   0.0  0.0         -        15.0    -       -             0        cn17656-enp5s0 
binary_ID0000007                    1   condorpool 14.324    1    14.324         36.017   1.0  0.0         -        15.0    -       -             0        cn17637-ens4   
binary_ID0000005                    1   condorpool 14.208    1    14.208         33.606   1.0  0.0         -        15.0    -       -             0        cn17656-enp5s0 
binary_ID0000006                    1   condorpool 13.469    1    13.469         35.935   0.0  15.0        -        14.0    -       -             0        cn17656-enp5s0 
binary_ID0000004                    1   condorpool 14.046    1    14.046         32.879   0.0  15.0        -        14.0    -       -             0        cn17637-ens4   
binary_ID0000008                    1   condorpool 12.812    1    12.812         32.838   0.0  0.0         -        13.0    -       -             0        cn17635-ens4   
binary_ID0000014                    1   condorpool 12.369    1    12.369         28.118   0.0  0.0         -        13.0    -       -             0        cn17661-ens4   
binary_ID0000015                    1   condorpool 12.945    1    12.945         29.552   0.0  13.0        -        13.0    -       -             0        cn17661-ens4   
binary_ID0000012                    1   condorpool 14.981    1    14.981         34.205   0.0  13.0        -        16.0    -       -             0        cn17635-ens4   
binary_ID0000013                    1   condorpool 14.83     1    14.83          34.219   0.0  20.0        -        15.0    -       -             0        cn17639-ens4   
binary_ID0000010                    1   condorpool 18.188    1    18.188         38.774   0.0  15.0        -        19.0    -       -             0        cn17662-enp5s0 
binary_ID0000011                    1   condorpool 17.132    1    17.132         37.035   0.0  15.0        -        18.0    -       -             0        cn17662-enp5s0 
binary_ID0000009                    1   condorpool 14.497    1    14.497         33.357   0.0  14.0        -        15.0    -       -             0        cn17635-ens4   
binary_ID0000018                    1   condorpool 14.045    1    14.045         35.939   0.0  0.0         -        14.0    -       -             0        cn17655-ens4   
binary_ID0000029                    1   condorpool 13.351    1    13.351         33.143   0.0  0.0         -        13.0    -       -             0        cn17656-enp5s0 
binary_ID0000019                    1   condorpool 17.668    1    17.668         33.721   1.0  14.0        -        17.0    -       -             0        cn17656-enp5s0 
binary_ID0000016                    1   condorpool 15.154    1    15.154         33.418   0.0  14.0        -        16.0    -       -             0        cn17655-ens4   
binary_ID0000027                    1   condorpool 20.547    1    20.547         37.876   0.0  20.0        -        21.0    -       -             0        cn17645-ens4   
binary_ID0000017                    1   condorpool 16.819    1    16.819         34.659   0.0  15.0        -        17.0    -       -             0        cn17662-enp5s0 
binary_ID0000028                    1   condorpool 18.638    1    18.638         32.262   0.0  15.0        -        19.0    -       -             0        cn17656-enp5s0 
binary_ID0000025                    1   condorpool 20.091    1    20.091         35.108   0.0  15.0        -        21.0    -       -             0        cn17651-ens4   
binary_ID0000026                    1   condorpool 19.732    1    19.732         33.815   0.0  15.0        -        20.0    -       -             0        cn17645-ens4   
binary_ID0000023                    1   condorpool 19.464    1    19.464         38.947   0.0  15.0        -        20.0    -       -             0        cn17653-ens4   
binary_ID0000024                    1   condorpool 18.863    1    18.863         34.516   0.0  10.0        -        19.0    -       -             0        cn17651-ens4   
binary_ID0000021                    1   condorpool 18.374    1    18.374         36.477   0.0  9.0         -        19.0    -       -             0        cn17642-enp5s0 
binary_ID0000022                    1   condorpool 20.539    1    20.539         39.597   0.0  9.0         -        21.0    -       -             0        cn17653-ens4   
binary_ID0000030                    1   condorpool 17.569    1    17.569         35.42    0.0  9.0         -        18.0    -       -             0        cn17636-enp5s0 
binary_ID0000020                    1   condorpool 18.349    1    18.349         35.969   0.0  10.0        -        18.0    -       -             0        cn17642-enp5s0 
binary_ID0000031                    1   condorpool 17.912    1    17.912         35.56    0.0  5.0         -        18.0    -       -             0        cn17636-enp5s0 
