
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 631d3d1e-a1b8-4061-afb6-b6b7c560aa49 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.212     1    3.212          0.154    0.0  16.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 12.124    1    12.124         8.498    0.0  6.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 19.544    1    19.544         13.732   0.0  0.0         -        20.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 39.478    1    39.478         16.266   0.0  0.0         -        40.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 17.487    1    17.487         17.07    0.0  1.0         -        18.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 14.25     1    14.25          13.095   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 14.369    1    14.369         13.699   1.0  15.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 14.065    1    14.065         13.544   0.0  18.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 14.995    1    14.995         14.52    0.0  0.0         -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 15.124    1    15.124         14.773   0.0  0.0         -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 14.575    1    14.575         14.441   0.0  16.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 24.159    1    24.159         17.616   1.0  16.0        -        24.0    -       -             0        cn17660-enp5s0 
binary_ID0000013                    1   condorpool 18.672    1    18.672         16.164   1.0  20.0        -        19.0    -       -             0        cn17661-ens4   
binary_ID0000010                    1   condorpool 19.045    1    19.045         16.53    1.0  14.0        -        19.0    -       -             0        cn17661-ens4   
