
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 7ce869b2-d653-40f2-a641-1e460641b4a1 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.208     1    3.208          0.153    0.0  10.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 9.436     1    9.436          17.027   0.0  3.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 14.198    1    14.198         31.831   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 14.896    1    14.896         32.979   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 13.147    1    13.147         31.603   0.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 16.12     1    16.12          35.527   0.0  0.0         -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 13.626    1    13.626         31.145   1.0  13.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 15.248    1    15.248         33.639   0.0  16.0        -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 13.72     1    13.72          32.274   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 15.165    1    15.165         34.087   0.0  0.0         -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 16.395    1    16.395         33.251   0.0  15.0        -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 13.694    1    13.694         29.861   0.0  16.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000013                    1   condorpool 13.724    1    13.724         30.227   0.0  20.0        -        14.0    -       -             0        cn17661-ens4   
binary_ID0000010                    1   condorpool 13.886    1    13.886         31.139   0.0  15.0        -        14.0    -       -             0        cn17661-ens4   
binary_ID0000011                    1   condorpool 17.872    1    17.872         39.324   1.0  15.0        -        18.0    -       -             0        cn17645-ens4   
binary_ID0000009                    1   condorpool 14.9      1    14.9           33.367   0.0  14.0        -        15.0    -       -             0        cn17645-ens4   
binary_ID0000018                    1   condorpool 14.617    1    14.617         33.268   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 13.606    1    13.606         32.353   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 16.89     1    16.89          31.986   1.0  14.0        -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 15.193    1    15.193         30.439   1.0  15.0        -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 15.375    1    15.375         28.666   0.0  20.0        -        16.0    -       -             0        cn17661-ens4   
binary_ID0000017                    1   condorpool 16.653    1    16.653         32.06    0.0  15.0        -        17.0    -       -             0        cn17661-ens4   
binary_ID0000028                    1   condorpool 17.17     1    17.17          32.91    0.0  15.0        -        18.0    -       -             0        cn17645-ens4   
binary_ID0000025                    1   condorpool 19.608    1    19.608         34.683   0.0  15.0        -        20.0    -       -             0        cn17645-ens4   
binary_ID0000026                    1   condorpool 19.562    1    19.562         34.037   0.0  14.0        -        20.0    -       -             0        cn17651-ens4   
binary_ID0000023                    1   condorpool 20.096    1    20.096         35.782   0.0  15.0        -        20.0    -       -             0        cn17651-ens4   
binary_ID0000024                    1   condorpool 18.552    1    18.552         34.307   0.0  9.0         -        19.0    -       -             0        cn17653-ens4   
binary_ID0000021                    1   condorpool 19.518    1    19.518         35.685   0.0  10.0        -        19.0    -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 17.167    1    17.167         34.021   0.0  10.0        -        17.0    -       -             0        cn17636-enp5s0 
binary_ID0000030                    1   condorpool 16.221    1    16.221         33.09    0.0  10.0        -        16.0    -       -             0        cn17636-enp5s0 
binary_ID0000020                    1   condorpool 18.884    1    18.884         34.828   0.0  10.0        -        19.0    -       -             0        cn17639-ens4   
binary_ID0000031                    1   condorpool 19.545    1    19.545         34.594   0.0  4.0         -        20.0    -       -             0        cn17639-ens4   
process_ID0000036                   1   condorpool 14.17     1    14.17          33.701   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
process_ID0000047                   1   condorpool 13.974    1    13.974         31.163   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
process_ID0000037                   1   condorpool 16.125    1    16.125         31.204   0.0  14.0        -        16.0    -       -             0        cn17660-enp5s0 
process_ID0000038                   1   condorpool 16.073    1    16.073         32.825   0.0  14.0        -        17.0    -       -             0        cn17660-enp5s0 
process_ID0000039                   1   condorpool 16.006    1    16.006         32.157   0.0  19.0        -        16.0    -       -             0        cn17661-ens4   
process_ID0000032                   1   condorpool 16.519    1    16.519         30.663   0.0  14.0        -        17.0    -       -             0        cn17661-ens4   
process_ID0000043                   1   condorpool 19.222    1    19.222         34.262   1.0  14.0        -        19.0    -       -             0        cn17645-ens4   
process_ID0000033                   1   condorpool 19.485    1    19.485         35.458   1.0  14.0        -        20.0    -       -             0        cn17645-ens4   
process_ID0000044                   1   condorpool 17.65     1    17.65          33.443   1.0  14.0        -        18.0    -       -             0        cn17651-ens4   
process_ID0000034                   1   condorpool 19.682    1    19.682         35.002   1.0  14.0        -        20.0    -       -             0        cn17651-ens4   
process_ID0000045                   1   condorpool 24.276    1    24.276         161.521  0.0  9.0         -        24.0    -       -             0        cn17653-ens4   
process_ID0000035                   1   condorpool 26.658    1    26.658         46.138   0.0  9.0         -        27.0    -       -             0        cn17653-ens4   
process_ID0000046                   1   condorpool 17.162    1    17.162         34.398   1.0  9.0         -        18.0    -       -             0        cn17636-enp5s0 
process_ID0000040                   1   condorpool 18.01     1    18.01          35.834   1.0  9.0         -        18.0    -       -             0        cn17636-enp5s0 
process_ID0000041                   1   condorpool 18.652    1    18.652         35.983   1.0  8.0         -        19.0    -       -             0        cn17639-ens4   
process_ID0000042                   1   condorpool 19.017    1    19.017         35.988   1.0  3.0         -        19.0    -       -             0        cn17639-ens4   
process_ID0000058                   1   condorpool 14.831    1    14.831         34.239   1.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
process_ID0000048                   1   condorpool 14.357    1    14.357         29.988   1.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
