
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 56329581-40e5-4783-b007-9be79552dcb8 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.24      1    3.24           0.171    0.0  17.0        -        4.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 2.542     1    2.542          4.685    1.0  1.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 3.446     1    3.446          8.993    0.0  0.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 3.465     1    3.465          9.032    0.0  4.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 3.054     1    3.054          11.998   0.0  1.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 2.978     1    2.978          10.964   0.0  4.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 3.353     1    3.353          11.773   0.0  7.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 3.282     1    3.282          10.646   0.0  7.0         -        3.0     -       -             0        cn17640-enp5s0 
binary_ID0000008                    1   condorpool 3.491     1    3.491          11.395   0.0  1.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 3.729     1    3.729          11.933   0.0  4.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 2.926     1    2.926          10.963   1.0  8.0         -        3.0     -       -             0        cn17639-ens4   
