
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 1a0a85ec-4197-4256-a900-abb85e094494 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.33      1    3.33           0.165    0.0  17.0        -        3.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 7.787     1    7.787          1.023    0.0  0.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 4.33      1    4.33           1.148    0.0  0.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 1.627     1    1.627          1.096    1.0  5.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 1.865     1    1.865          1.227    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 1.53      1    1.53           1.15     0.0  2.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 4.176     1    4.176          1.148    0.0  4.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 1.392     1    1.392          1.157    0.0  8.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 2.082     1    2.082          1.204    0.0  1.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 2.341     1    2.341          1.148    0.0  2.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 2.545     1    2.545          1.138    0.0  5.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 2.648     1    2.648          1.169    1.0  8.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000013                    1   condorpool 1.469     1    1.469          1.206    1.0  11.0        -        1.0     -       -             0        cn17639-ens4   
binary_ID0000010                    1   condorpool 2.252     1    2.252          1.21     1.0  7.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000011                    1   condorpool 1.483     1    1.483          1.073    0.0  10.0        -        2.0     -       -             0        cn17639-ens4   
binary_ID0000009                    1   condorpool 2.995     1    2.995          1.07     0.0  12.0        -        3.0     -       -             0        cn17639-ens4   
binary_ID0000018                    1   condorpool 2.072     1    2.072          1.094    0.0  0.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000029                    1   condorpool 1.371     1    1.371          1.195    0.0  3.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000019                    1   condorpool 2.731     1    2.731          1.045    0.0  4.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000016                    1   condorpool 3.267     1    3.267          1.658    1.0  7.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000027                    1   condorpool 2.48      1    2.48           2.057    1.0  9.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000017                    1   condorpool 3.58      1    3.58           1.921    1.0  4.0         -        4.0     -       -             0        cn17636-enp5s0 
binary_ID0000028                    1   condorpool 3.454     1    3.454          1.877    1.0  3.0         -        4.0     -       -             0        cn17637-ens4   
binary_ID0000025                    1   condorpool 4.63      1    4.63           1.976    0.0  3.0         -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000026                    1   condorpool 3.17      1    3.17           1.714    1.0  3.0         -        4.0     -       -             0        cn17635-ens4   
binary_ID0000023                    1   condorpool 4.955     1    4.955          1.86     0.0  3.0         -        5.0     -       -             0        cn17642-enp5s0 
binary_ID0000024                    1   condorpool 3.14      1    3.14           1.737    0.0  2.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000021                    1   condorpool 2.43      1    2.43           1.959    0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000022                    1   condorpool 2.2       1    2.2            1.631    0.0  0.0         -        3.0     -       -             0        cn17635-ens4   
binary_ID0000030                    1   condorpool 9.761     1    9.761          1.866    0.0  0.0         -        10.0    -       -             0        cn17636-enp5s0 
binary_ID0000020                    1   condorpool 2.474     1    2.474          1.652    0.0  1.0         -        2.0     -       -             0        cn17637-ens4   
binary_ID0000031                    1   condorpool 2.101     1    2.101          1.845    0.0  0.0         -        2.0     -       -             0        cn17644-enp5s0 
process_ID0000036                   1   condorpool 3.577     1    3.577          1.868    0.0  1.0         -        3.0     -       -             0        cn17644-enp5s0 
process_ID0000047                   1   condorpool 3.139     1    3.139          1.809    0.0  0.0         -        3.0     -       -             0        cn17636-enp5s0 
process_ID0000037                   1   condorpool 2.783     1    2.783          1.781    0.0  3.0         -        3.0     -       -             0        cn17636-enp5s0 
process_ID0000038                   1   condorpool 4.831     1    4.831          1.78     0.0  4.0         -        5.0     -       -             0        cn17644-enp5s0 
process_ID0000039                   1   condorpool 4.071     1    4.071          1.76     0.0  6.0         -        5.0     -       -             0        cn17636-enp5s0 
process_ID0000032                   1   condorpool 4.798     1    4.798          1.765    0.0  4.0         -        5.0     -       -             0        cn17644-enp5s0 
process_ID0000043                   1   condorpool 2.529     1    2.529          1.639    0.0  5.0         -        3.0     -       -             0        cn17639-ens4   
process_ID0000033                   1   condorpool 3.073     1    3.073          1.747    0.0  5.0         -        3.0     -       -             0        cn17637-ens4   
