
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# e95feaf6-0dba-4bce-a26d-d4353d79a2c8 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.446     1    3.446          0.176    0.0  16.0        -        3.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 3.93      1    3.93           6.397    0.0  0.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 6.004     1    6.004          11.927   1.0  0.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 5.736     1    5.736          12.705   0.0  7.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 4.68      1    4.68           14.661   0.0  0.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 5.95      1    5.95           15.209   1.0  5.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 4.772     1    4.772          14.81    0.0  11.0        -        5.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 5.029     1    5.029          15.542   0.0  17.0        -        5.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 4.862     1    4.862          15.043   0.0  0.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 5.211     1    5.211          15.223   0.0  5.0         -        5.0     -       -             0        cn17637-ens4   
binary_ID0000015                    1   condorpool 5.574     1    5.574          14.921   0.0  10.0        -        6.0     -       -             0        cn17637-ens4   
binary_ID0000012                    1   condorpool 5.075     1    5.075          14.499   0.0  10.0        -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 6.051     1    6.051          15.708   0.0  10.0        -        6.0     -       -             0        cn17636-enp5s0 
binary_ID0000010                    1   condorpool 5.004     1    5.004          14.979   0.0  10.0        -        5.0     -       -             0        cn17639-ens4   
binary_ID0000011                    1   condorpool 6.058     1    6.058          15.587   0.0  4.0         -        6.0     -       -             0        cn17640-enp5s0 
binary_ID0000009                    1   condorpool 5.599     1    5.599          14.466   0.0  4.0         -        6.0     -       -             0        cn17635-ens4   
binary_ID0000018                    1   condorpool 5.88      1    5.88           14.86    0.0  0.0         -        6.0     -       -             0        cn17640-enp5s0 
binary_ID0000029                    1   condorpool 4.923     1    4.923          14.187   0.0  6.0         -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000019                    1   condorpool 4.295     1    4.295          13.29    0.0  11.0        -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000016                    1   condorpool 4.771     1    4.771          13.889   0.0  16.0        -        5.0     -       -             0        cn17642-enp5s0 
binary_ID0000027                    1   condorpool 5.816     1    5.816          15.679   0.0  0.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000017                    1   condorpool 4.78      1    4.78           14.148   1.0  15.0        -        5.0     -       -             0        cn17642-enp5s0 
binary_ID0000028                    1   condorpool 5.259     1    5.259          15.275   1.0  15.0        -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000025                    1   condorpool 5.03      1    5.03           14.45    0.0  18.0        -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000026                    1   condorpool 5.266     1    5.266          14.531   0.0  1.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000023                    1   condorpool 5.676     1    5.676          13.888   1.0  15.0        -        6.0     -       -             0        cn17636-enp5s0 
binary_ID0000024                    1   condorpool 6.046     1    6.046          16.128   1.0  10.0        -        6.0     -       -             0        cn17637-ens4   
binary_ID0000021                    1   condorpool 5.512     1    5.512          14.428   1.0  9.0         -        6.0     -       -             0        cn17635-ens4   
binary_ID0000022                    1   condorpool 5.278     1    5.278          14.96    1.0  9.0         -        6.0     -       -             0        cn17662-enp5s0 
binary_ID0000030                    1   condorpool 5.221     1    5.221          13.937   0.0  15.0        -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000020                    1   condorpool 5.319     1    5.319          14.195   0.0  15.0        -        5.0     -       -             0        cn17635-ens4   
binary_ID0000031                    1   condorpool 5.721     1    5.721          15.539   0.0  10.0        -        6.0     -       -             0        cn17662-enp5s0 
process_ID0000036                   1   condorpool 5.839     1    5.839          11.049   0.0  0.0         -        6.0     -       -             0        cn17635-ens4   
process_ID0000047                   1   condorpool 5.64      1    5.64           11.045   0.0  1.0         -        5.0     -       -             0        cn17637-ens4   
process_ID0000037                   1   condorpool 5.33      1    5.33           10.677   0.0  1.0         -        5.0     -       -             0        cn17644-enp5s0 
process_ID0000038                   1   condorpool 5.276     1    5.276          11.779   0.0  1.0         -        5.0     -       -             0        cn17662-enp5s0 
process_ID0000039                   1   condorpool 4.956     1    4.956          10.652   0.0  5.0         -        5.0     -       -             0        cn17644-enp5s0 
process_ID0000032                   1   condorpool 5.61      1    5.61           11.209   0.0  0.0         -        6.0     -       -             0        cn17662-enp5s0 
process_ID0000043                   1   condorpool 5.489     1    5.489          11.303   0.0  1.0         -        5.0     -       -             0        cn17637-ens4   
process_ID0000033                   1   condorpool 5.147     1    5.147          10.5     0.0  1.0         -        5.0     -       -             0        cn17635-ens4   
process_ID0000044                   1   condorpool 4.756     1    4.756          10.508   0.0  6.0         -        4.0     -       -             0        cn17644-enp5s0 
process_ID0000034                   1   condorpool 4.999     1    4.999          10.107   0.0  6.0         -        5.0     -       -             0        cn17635-ens4   
process_ID0000045                   1   condorpool 5.321     1    5.321          11.046   0.0  1.0         -        6.0     -       -             0        cn17637-ens4   
process_ID0000035                   1   condorpool 4.878     1    4.878          10.44    0.0  2.0         -        5.0     -       -             0        cn17662-enp5s0 
process_ID0000046                   1   condorpool 4.674     1    4.674          9.638    0.0  6.0         -        4.0     -       -             0        cn17644-enp5s0 
process_ID0000040                   1   condorpool 4.737     1    4.737          10.294   0.0  6.0         -        5.0     -       -             0        cn17635-ens4   
process_ID0000041                   1   condorpool 5.047     1    5.047          10.641   0.0  6.0         -        5.0     -       -             0        cn17662-enp5s0 
process_ID0000042                   1   condorpool 5.678     1    5.678          11.234   0.0  1.0         -        6.0     -       -             0        cn17637-ens4   
process_ID0000058                   1   condorpool 5.027     1    5.027          10.468   1.0  0.0         -        5.0     -       -             0        cn17635-ens4   
process_ID0000048                   1   condorpool 4.957     1    4.957          11.08    1.0  0.0         -        5.0     -       -             0        cn17637-ens4   
