
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# a03f2ae6-97a4-48cb-8660-bd8bcc25ca27 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.246     1    3.246          0.16     0.0  16.0        -        4.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 8.102     1    8.102          2.921    1.0  1.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 7.432     1    7.432          3.589    0.0  0.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 8.141     1    8.141          5.666    0.0  6.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 7.669     1    7.669          5.514    0.0  1.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 7.73      1    7.73           5.205    0.0  1.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 5.694     1    5.694          4.206    2.0  8.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 4.894     1    4.894          3.444    2.0  8.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 11.652    1    11.652         6.091    0.0  0.0         -        12.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 9.088     1    9.088          5.416    0.0  0.0         -        9.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 7.16      1    7.16           3.745    0.0  9.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 9.246     1    9.246          6.47     0.0  12.0        -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 8.604     1    8.604          5.31     0.0  14.0        -        9.0     -       -             0        cn17636-enp5s0 
binary_ID0000010                    1   condorpool 6.645     1    6.645          5.078    0.0  9.0         -        7.0     -       -             0        cn17637-ens4   
binary_ID0000011                    1   condorpool 6.622     1    6.622          5.21     0.0  9.0         -        7.0     -       -             0        cn17640-enp5s0 
binary_ID0000009                    1   condorpool 6.617     1    6.617          4.834    0.0  9.0         -        7.0     -       -             0        cn17635-ens4   
binary_ID0000018                    1   condorpool 7.143     1    7.143          4.812    0.0  2.0         -        7.0     -       -             0        cn17637-ens4   
binary_ID0000029                    1   condorpool 8.354     1    8.354          6.121    0.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 8.617     1    8.617          5.404    0.0  0.0         -        9.0     -       -             0        cn17639-ens4   
binary_ID0000016                    1   condorpool 7.264     1    7.264          4.935    0.0  0.0         -        8.0     -       -             0        cn17635-ens4   
binary_ID0000027                    1   condorpool 7.434     1    7.434          5.3      0.0  0.0         -        8.0     -       -             0        cn17640-enp5s0 
binary_ID0000017                    1   condorpool 9.819     1    9.819          5.234    0.0  0.0         -        10.0    -       -             0        cn17636-enp5s0 
binary_ID0000028                    1   condorpool 10.071    1    10.071         5.137    0.0  3.0         -        10.0    -       -             0        cn17637-ens4   
binary_ID0000025                    1   condorpool 8.089     1    8.089          4.913    0.0  3.0         -        8.0     -       -             0        cn17635-ens4   
binary_ID0000026                    1   condorpool 8.053     1    8.053          3.67     0.0  3.0         -        8.0     -       -             0        cn17640-enp5s0 
