
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# e3f967d8-dd06-4a8e-b2a4-a54c581a8b56 (binary-tree)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       7.934     12.587    9.62           288.597   
createfile               1         1         0       7.025     7.025     7.025          7.025     
dagman::post             112       112       0       0.0       1.0       0.143          16.0      
pegasus::dirmanager      1         1         0       3.263     3.263     3.263          3.263     
pegasus::transfer        1         1         0       2.33      2.33      2.33           2.33      
process                  64        64        0       8.771     54.779    14.158         906.084   
reduce                   15        15        0       1.185     1.279     1.214          18.206    


# All (All)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       7.934     12.587    9.62           288.597   
createfile               1         1         0       7.025     7.025     7.025          7.025     
dagman::post             112       112       0       0.0       1.0       0.143          16.0      
pegasus::dirmanager      1         1         0       3.263     3.263     3.263          3.263     
pegasus::transfer        1         1         0       2.33      2.33      2.33           2.33      
process                  64        64        0       8.771     54.779    14.158         906.084   
reduce                   15        15        0       1.185     1.279     1.214          18.206    
