
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# e3f967d8-dd06-4a8e-b2a4-a54c581a8b56 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.263     1    3.263          0.171    0.0  16.0        -        4.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 7.025     1    7.025          9.372    0.0  0.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 9.82      1    9.82           18.704   0.0  0.0         -        10.0    -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 9.506     1    9.506          18.897   0.0  10.0        -        10.0    -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 8.885     1    8.885          22.948   0.0  0.0         -        9.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 8.272     1    8.272          20.68    1.0  9.0         -        9.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 9.647     1    9.647          22.396   1.0  11.0        -        9.0     -       -             0        cn17640-enp5s0 
binary_ID0000004                    1   condorpool 10.813    1    10.813         23.323   0.0  11.0        -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 9.583     1    9.583          22.094   0.0  0.0         -        10.0    -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 8.458     1    8.458          20.253   0.0  10.0        -        9.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 8.807     1    8.807          20.403   0.0  19.0        -        9.0     -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 10.122    1    10.122         21.069   0.0  20.0        -        11.0    -       -             0        cn17637-ens4   
binary_ID0000013                    1   condorpool 9.342     1    9.342          21.869   0.0  20.0        -        10.0    -       -             0        cn17636-enp5s0 
binary_ID0000010                    1   condorpool 9.536     1    9.536          25.17    0.0  0.0         -        10.0    -       -             0        cn17640-enp5s0 
binary_ID0000011                    1   condorpool 9.11      1    9.11           20.378   1.0  10.0        -        9.0     -       -             0        cn17640-enp5s0 
binary_ID0000009                    1   condorpool 9.114     1    9.114          22.638   0.0  0.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000018                    1   condorpool 8.854     1    8.854          23.188   0.0  0.0         -        9.0     -       -             0        cn17639-ens4   
binary_ID0000029                    1   condorpool 9.288     1    9.288          21.65    0.0  0.0         -        10.0    -       -             0        cn17636-enp5s0 
binary_ID0000019                    1   condorpool 8.609     1    8.609          21.627   0.0  9.0         -        9.0     -       -             0        cn17639-ens4   
