
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# f7e37b00-aef6-437e-a4db-8511e0fbb443 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.266     1    3.266          0.173    0.0  11.0        -        3.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 4.327     1    4.327          7.126    0.0  0.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 5.942     1    5.942          13.769   0.0  0.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 6.461     1    6.461          13.489   0.0  7.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 4.846     1    4.846          15.272   0.0  0.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 4.755     1    4.755          14.702   0.0  5.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 4.466     1    4.466          14.696   1.0  10.0        -        5.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 5.122     1    5.122          14.434   0.0  15.0        -        5.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 6.141     1    6.141          16.435   1.0  0.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 5.575     1    5.575          15.859   0.0  7.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 32.847    1    32.847         251.383  0.0  9.0         -        33.0    -       -             0        cn17662-enp5s0 
binary_ID0000012                    1   condorpool 5.742     1    5.742          15.13    0.0  9.0         -        5.0     -       -             0        cn17636-enp5s0 
binary_ID0000013                    1   condorpool 5.204     1    5.204          14.007   0.0  9.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 6.128     1    6.128          14.758   0.0  4.0         -        6.0     -       -             0        cn17637-ens4   
binary_ID0000011                    1   condorpool 5.615     1    5.615          14.586   0.0  4.0         -        5.0     -       -             0        cn17640-enp5s0 
binary_ID0000009                    1   condorpool 5.592     1    5.592          14.233   0.0  4.0         -        5.0     -       -             0        cn17635-ens4   
binary_ID0000018                    1   condorpool 4.99      1    4.99           15.564   0.0  1.0         -        5.0     -       -             0        cn17637-ens4   
binary_ID0000029                    1   condorpool 4.619     1    4.619          14.491   0.0  6.0         -        5.0     -       -             0        cn17637-ens4   
