
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# abbb504e-e004-4bc3-88b8-5b8732d777f2 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.257     1    3.257          0.172    0.0  3.0         -        4.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 5.732     1    5.732          4.502    0.0  0.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 6.238     1    6.238          5.021    0.0  1.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 5.119     1    5.119          4.8      0.0  6.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 7.808     1    7.808          5.011    0.0  1.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 20.637    1    20.637         5.88     0.0  8.0         -        21.0    -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 11.018    1    11.018         7.874    0.0  17.0        -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 21.973    1    21.973         7.704    0.0  17.0        -        22.0    -       -             0        cn17636-enp5s0 
binary_ID0000008                    1   condorpool 14.739    1    14.739         6.895    1.0  0.0         -        15.0    -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 8.185     1    8.185          6.323    0.0  0.0         -        8.0     -       -             0        cn17636-enp5s0 
binary_ID0000015                    1   condorpool 11.569    1    11.569         4.952    0.0  8.0         -        12.0    -       -             0        cn17636-enp5s0 
binary_ID0000012                    1   condorpool 10.731    1    10.731         6.981    1.0  15.0        -        11.0    -       -             0        cn17639-ens4   
binary_ID0000013                    1   condorpool 10.171    1    10.171         7.017    1.0  21.0        -        10.0    -       -             0        cn17636-enp5s0 
binary_ID0000010                    1   condorpool 9.805     1    9.805          6.628    1.0  16.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000011                    1   condorpool 9.939     1    9.939          6.868    0.0  16.0        -        10.0    -       -             0        cn17637-ens4   
binary_ID0000009                    1   condorpool 8.467     1    8.467          7.209    1.0  16.0        -        8.0     -       -             0        cn17640-enp5s0 
binary_ID0000018                    1   condorpool 9.969     1    9.969          6.808    0.0  0.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 9.143     1    9.143          6.804    0.0  0.0         -        10.0    -       -             0        cn17637-ens4   
binary_ID0000019                    1   condorpool 8.764     1    8.764          6.867    0.0  0.0         -        9.0     -       -             0        cn17640-enp5s0 
binary_ID0000016                    1   condorpool 8.005     1    8.005          5.213    0.0  0.0         -        9.0     -       -             0        cn17639-ens4   
binary_ID0000027                    1   condorpool 16.509    1    16.509         5.962    0.0  1.0         -        16.0    -       -             0        cn17636-enp5s0 
binary_ID0000017                    1   condorpool 6.318     1    6.318          4.974    1.0  4.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000028                    1   condorpool 7.806     1    7.806          6.34     0.0  3.0         -        8.0     -       -             0        cn17640-enp5s0 
binary_ID0000025                    1   condorpool 8.954     1    8.954          6.839    0.0  4.0         -        9.0     -       -             0        cn17637-ens4   
binary_ID0000026                    1   condorpool 8.958     1    8.958          7.127    0.0  4.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000023                    1   condorpool 15.372    1    15.372         7.86     0.0  11.0        -        15.0    -       -             0        cn17639-ens4   
binary_ID0000024                    1   condorpool 7.824     1    7.824          7.067    0.0  6.0         -        8.0     -       -             0        cn17636-enp5s0 
binary_ID0000021                    1   condorpool 15.34     1    15.34          7.639    1.0  7.0         -        15.0    -       -             0        cn17640-enp5s0 
binary_ID0000022                    1   condorpool 7.9       1    7.9            6.775    0.0  8.0         -        8.0     -       -             0        cn17637-ens4   
