
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# ee62d0a8-ae84-43bb-9afb-d409c24be54d (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.268     1    3.268          0.173    0.0  15.0        -        4.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 6.291     1    6.291          4.522    0.0  0.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 6.08      1    6.08           4.614    0.0  0.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 7.343     1    7.343          5.514    0.0  6.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 15.849    1    15.849         5.339    0.0  1.0         -        16.0    -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 9.247     1    9.247          6.521    0.0  17.0        -        9.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 10.121    1    10.121         7.796    0.0  19.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 10.696    1    10.696         7.81     0.0  18.0        -        11.0    -       -             0        cn17636-enp5s0 
binary_ID0000008                    1   condorpool 8.992     1    8.992          6.991    0.0  1.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 7.953     1    7.953          6.306    0.0  0.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 8.797     1    8.797          6.771    0.0  0.0         -        9.0     -       -             0        cn17636-enp5s0 
binary_ID0000012                    1   condorpool 9.661     1    9.661          7.1      1.0  8.0         -        10.0    -       -             0        cn17639-ens4   
