
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# ff5744f6-3367-49c7-b591-88fe3ad01153 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.241     1    3.241          0.17     0.0  15.0        -        4.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 1.752     1    1.752          3.288    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 2.36      1    2.36           4.253    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 2.448     1    2.448          4.335    0.0  3.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 2.356     1    2.356          4.221    0.0  0.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 2.31      1    2.31           4.231    0.0  3.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 3.13      1    3.13           4.351    0.0  6.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 2.475     1    2.475          5.545    0.0  9.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 3.409     1    3.409          5.904    0.0  1.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 2.283     1    2.283          5.464    0.0  1.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 2.24      1    2.24           5.453    0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 3.336     1    3.336          4.356    0.0  3.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000013                    1   condorpool 2.163     1    2.163          5.303    0.0  5.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 2.803     1    2.803          3.966    0.0  2.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000011                    1   condorpool 2.269     1    2.269          5.443    0.0  2.0         -        3.0     -       -             0        cn17644-enp5s0 
