
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# dda78e9b-f21f-449f-ad64-8f03dbb96bce (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.261     1    3.261          0.172    1.0  17.0        -        3.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 1.757     1    1.757          3.269    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 2.323     1    2.323          5.665    0.0  0.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 2.275     1    2.275          6.214    1.0  3.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 2.125     1    2.125          7.375    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 2.115     1    2.115          7.565    0.0  2.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 2.106     1    2.106          7.239    0.0  5.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 2.127     1    2.127          7.577    1.0  8.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 2.129     1    2.129          7.677    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 2.931     1    2.931          6.44     0.0  2.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 2.142     1    2.142          7.182    0.0  6.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 2.295     1    2.295          5.523    0.0  7.0         -        3.0     -       -             0        cn17635-ens4   
binary_ID0000013                    1   condorpool 2.197     1    2.197          7.359    0.0  7.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 2.487     1    2.487          6.116    0.0  3.0         -        2.0     -       -             0        cn17640-enp5s0 
binary_ID0000011                    1   condorpool 2.302     1    2.302          7.36     0.0  3.0         -        2.0     -       -             0        cn17636-enp5s0 
binary_ID0000009                    1   condorpool 2.219     1    2.219          7.32     0.0  2.0         -        3.0     -       -             0        cn17637-ens4   
binary_ID0000018                    1   condorpool 2.669     1    2.669          6.272    0.0  1.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000029                    1   condorpool 2.598     1    2.598          6.16     0.0  1.0         -        2.0     -       -             0        cn17636-enp5s0 
binary_ID0000019                    1   condorpool 2.322     1    2.322          6.015    0.0  0.0         -        2.0     -       -             0        cn17637-ens4   
binary_ID0000016                    1   condorpool 2.195     1    2.195          7.82     0.0  0.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000027                    1   condorpool 2.174     1    2.174          7.349    0.0  2.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000017                    1   condorpool 2.194     1    2.194          7.3      0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000028                    1   condorpool 2.487     1    2.487          7.805    0.0  0.0         -        3.0     -       -             0        cn17636-enp5s0 
binary_ID0000025                    1   condorpool 2.43      1    2.43           7.875    0.0  0.0         -        3.0     -       -             0        cn17637-ens4   
binary_ID0000026                    1   condorpool 2.462     1    2.462          8.118    0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000023                    1   condorpool 2.098     1    2.098          7.392    0.0  3.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000024                    1   condorpool 2.305     1    2.305          7.6      0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000021                    1   condorpool 2.646     1    2.646          6.227    0.0  0.0         -        3.0     -       -             0        cn17636-enp5s0 
