
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 4014212b-2632-4d17-beb2-e3769808401a (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.364     1    3.364          0.183    0.0  15.0        -        3.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 2.226     1    2.226          0.598    0.0  0.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 0.895     1    0.895          0.673    1.0  1.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 0.573     1    0.573          0.559    1.0  2.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 0.573     1    0.573          0.557    0.0  0.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 2.762     1    2.762          0.586    0.0  1.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 0.563     1    0.563          0.532    0.0  4.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 3.172     1    3.172          0.57     1.0  5.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 2.248     1    2.248          0.586    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 0.659     1    0.659          0.56     0.0  2.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 3.193     1    3.193          0.573    1.0  3.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 0.944     1    0.944          0.57     1.0  7.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000013                    1   condorpool 1.895     1    1.895          0.565    0.0  9.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000010                    1   condorpool 2.389     1    2.389          0.573    0.0  6.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000011                    1   condorpool 1.16      1    1.16           0.579    0.0  8.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000009                    1   condorpool 1.192     1    1.192          1.018    0.0  9.0         -        1.0     -       -             0        cn17644-enp5s0 
binary_ID0000018                    1   condorpool 2.815     1    2.815          0.967    0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 0.679     1    0.679          0.567    0.0  0.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000019                    1   condorpool 1.006     1    1.006          0.838    0.0  1.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000016                    1   condorpool 0.924     1    0.924          0.61     0.0  3.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000027                    1   condorpool 1.866     1    1.866          0.999    0.0  3.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000017                    1   condorpool 1.77      1    1.77           0.916    1.0  0.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000028                    1   condorpool 2.198     1    2.198          0.676    1.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000025                    1   condorpool 2.625     1    2.625          1.001    1.0  2.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000026                    1   condorpool 1.882     1    1.882          0.895    1.0  2.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000023                    1   condorpool 1.197     1    1.197          0.55     0.0  5.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000024                    1   condorpool 0.682     1    0.682          0.627    0.0  0.0         -        1.0     -       -             0        cn17644-enp5s0 
binary_ID0000021                    1   condorpool 1.122     1    1.122          0.576    0.0  1.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000022                    1   condorpool 1.387     1    1.387          0.974    0.0  1.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000030                    1   condorpool 2.124     1    2.124          0.58     0.0  2.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000020                    1   condorpool 2.224     1    2.224          0.971    0.0  3.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000031                    1   condorpool 1.066     1    1.066          0.592    0.0  0.0         -        1.0     -       -             0        cn17639-ens4   
process_ID0000036                   1   condorpool 0.687     1    0.687          0.672    1.0  1.0         -        1.0     -       -             0        cn17644-enp5s0 
process_ID0000047                   1   condorpool 3.899     1    3.899          0.665    1.0  0.0         -        4.0     -       -             0        cn17639-ens4   
process_ID0000037                   1   condorpool 1.068     1    1.068          0.902    0.0  1.0         -        2.0     -       -             0        cn17644-enp5s0 
process_ID0000038                   1   condorpool 0.698     1    0.698          0.648    0.0  3.0         -        1.0     -       -             0        cn17644-enp5s0 
process_ID0000039                   1   condorpool 2.729     1    2.729          0.635    0.0  4.0         -        3.0     -       -             0        cn17639-ens4   
process_ID0000032                   1   condorpool 1.836     1    1.836          0.941    0.0  0.0         -        2.0     -       -             0        cn17644-enp5s0 
