
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 4d47f32f-d85f-4559-81cc-d5c3ee784084 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.191     1    3.191          0.149    0.0  16.0        -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 2.241     1    2.241          7.427    0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 2.855     1    2.855          11.837   0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 2.453     1    2.453          11.278   1.0  4.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 2.777     1    2.777          12.544   0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 2.711     1    2.711          12.355   1.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 2.185     1    2.185          10.159   1.0  6.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 2.605     1    2.605          10.83    0.0  9.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 2.596     1    2.596          10.765   1.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 2.529     1    2.529          11.647   0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 2.507     1    2.507          10.99    0.0  6.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 2.466     1    2.466          10.729   0.0  9.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 2.443     1    2.443          11.412   0.0  12.0        -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 2.289     1    2.289          10.946   0.0  9.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000011                    1   condorpool 2.356     1    2.356          9.864    0.0  12.0        -        3.0     -       -             0        cn17644-enp5s0 
