
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 96e5f078-dd13-46e8-bff3-c96da9addfab (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.191     1    3.191          0.152    0.0  16.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 2.279     1    2.279          6.829    1.0  1.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 2.84      1    2.84           11.508   0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 2.761     1    2.761          12.181   0.0  3.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 2.926     1    2.926          12.056   0.0  1.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 2.799     1    2.799          12.77    0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 2.331     1    2.331          10.059   0.0  6.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 2.368     1    2.368          10.601   0.0  9.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 2.7       1    2.7            11.39    0.0  1.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 2.787     1    2.787          12.163   0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 2.795     1    2.795          11.779   0.0  6.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 2.212     1    2.212          10.32    1.0  10.0        -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 2.734     1    2.734          9.562    1.0  12.0        -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 2.405     1    2.405          11.355   0.0  11.0        -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000011                    1   condorpool 2.313     1    2.313          11.251   0.0  14.0        -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000009                    1   condorpool 2.435     1    2.435          10.63    0.0  16.0        -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000018                    1   condorpool 2.654     1    2.654          12.016   0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 2.394     1    2.394          10.764   0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 2.333     1    2.333          9.965    0.0  6.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000016                    1   condorpool 2.741     1    2.741          9.851    0.0  8.0         -        3.0     -       -             0        cn17662-enp5s0 
binary_ID0000027                    1   condorpool 2.81      1    2.81           9.952    0.0  9.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000017                    1   condorpool 3.027     1    3.027          10.882   0.0  4.0         -        3.0     -       -             0        cn17662-enp5s0 
binary_ID0000028                    1   condorpool 3.103     1    3.103          10.551   0.0  4.0         -        3.0     -       -             0        cn17635-ens4   
binary_ID0000025                    1   condorpool 3.277     1    3.277          10.811   0.0  4.0         -        4.0     -       -             0        cn17642-enp5s0 
binary_ID0000026                    1   condorpool 2.543     1    2.543          9.354    0.0  7.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000023                    1   condorpool 2.952     1    2.952          11.143   0.0  4.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000024                    1   condorpool 2.737     1    2.737          10.724   0.0  3.0         -        3.0     -       -             0        cn17642-enp5s0 
binary_ID0000021                    1   condorpool 3.081     1    3.081          11.429   0.0  19.0        -        4.0     -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 2.599     1    2.599          10.277   0.0  3.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000030                    1   condorpool 2.783     1    2.783          10.751   0.0  18.0        -        3.0     -       -             0        cn17637-ens4   
binary_ID0000020                    1   condorpool 2.95      1    2.95           11.587   0.0  18.0        -        3.0     -       -             0        cn17653-ens4   
binary_ID0000031                    1   condorpool 3.126     1    3.126          11.757   0.0  13.0        -        4.0     -       -             0        cn17637-ens4   
process_ID0000036                   1   condorpool 3.062     1    3.062          11.603   0.0  2.0         -        3.0     -       -             0        cn17635-ens4   
process_ID0000047                   1   condorpool 3.189     1    3.189          11.675   0.0  2.0         -        3.0     -       -             0        cn17636-enp5s0 
process_ID0000037                   1   condorpool 2.986     1    2.986          11.045   0.0  2.0         -        3.0     -       -             0        cn17655-ens4   
process_ID0000038                   1   condorpool 3.462     1    3.462          12.51    0.0  2.0         -        4.0     -       -             0        cn17645-ens4   
process_ID0000039                   1   condorpool 2.978     1    2.978          11.79    0.0  2.0         -        3.0     -       -             0        cn17645-ens4   
process_ID0000032                   1   condorpool 2.646     1    2.646          10.741   0.0  0.0         -        3.0     -       -             0        cn17653-ens4   
process_ID0000043                   1   condorpool 3.128     1    3.128          11.213   0.0  0.0         -        4.0     -       -             0        cn17635-ens4   
process_ID0000033                   1   condorpool 3.14      1    3.14           12.229   0.0  0.0         -        4.0     -       -             0        cn17645-ens4   
process_ID0000044                   1   condorpool 2.526     1    2.526          10.772   0.0  1.0         -        2.0     -       -             0        cn17655-ens4   
process_ID0000034                   1   condorpool 3.503     1    3.503          12.162   0.0  1.0         -        4.0     -       -             0        cn17645-ens4   
process_ID0000045                   1   condorpool 2.446     1    2.446          10.137   1.0  0.0         -        3.0     -       -             0        cn17645-ens4   
process_ID0000035                   1   condorpool 3.842     1    3.842          13.527   1.0  0.0         -        4.0     -       -             0        cn17645-ens4   
process_ID0000046                   1   condorpool 2.847     1    2.847          10.775   1.0  0.0         -        3.0     -       -             0        cn17655-ens4   
process_ID0000040                   1   condorpool 2.868     1    2.868          12.348   1.0  0.0         -        3.0     -       -             0        cn17635-ens4   
process_ID0000041                   1   condorpool 2.373     1    2.373          11.269   1.0  3.0         -        2.0     -       -             0        cn17645-ens4   
process_ID0000042                   1   condorpool 2.517     1    2.517          10.068   0.0  1.0         -        2.0     -       -             0        cn17645-ens4   
process_ID0000058                   1   condorpool 3.924     1    3.924          13.538   0.0  0.0         -        4.0     -       -             0        cn17645-ens4   
process_ID0000048                   1   condorpool 2.926     1    2.926          11.71    0.0  0.0         -        3.0     -       -             0        cn17645-ens4   
