
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# d8054c13-f945-433f-8e91-e715438e0277 (binary-tree)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       1.856     5.438     3.141          94.227    
createfile               1         1         0       3.051     3.051     3.051          3.051     
dagman::post             112       112       0       0.0       1.0       0.241          27.0      
pegasus::dirmanager      1         1         0       3.2       3.2       3.2            3.2       
pegasus::transfer        1         1         0       9.613     9.613     9.613          9.613     
process                  64        64        0       1.681     5.054     3.054          195.451   
reduce                   15        15        0       0.015     1.162     0.286          4.29      


# All (All)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       1.856     5.438     3.141          94.227    
createfile               1         1         0       3.051     3.051     3.051          3.051     
dagman::post             112       112       0       0.0       1.0       0.241          27.0      
pegasus::dirmanager      1         1         0       3.2       3.2       3.2            3.2       
pegasus::transfer        1         1         0       9.613     9.613     9.613          9.613     
process                  64        64        0       1.681     5.054     3.054          195.451   
reduce                   15        15        0       0.015     1.162     0.286          4.29      
