
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 9e5c9895-69fa-4d8f-9cc6-4b07531b28fb (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.191     1    3.191          0.149    0.0  17.0        -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 2.822     1    2.822          0.353    0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 5.08      1    5.08           0.262    0.0  0.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 4.503     1    4.503          0.233    0.0  6.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 4.828     1    4.828          0.247    0.0  0.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 4.545     1    4.545          0.272    0.0  5.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 4.712     1    4.712          0.29     0.0  10.0        -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 4.437     1    4.437          0.255    1.0  15.0        -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 4.67      1    4.67           0.264    0.0  0.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 4.489     1    4.489          0.267    1.0  5.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 4.137     1    4.137          0.194    0.0  10.0        -        4.0     -       -             0        cn17644-enp5s0 
