
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 0002bc5b-a3b7-4b1d-bcec-4e06edf85d6e (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.247     1    3.247          0.153    0.0  15.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 4.291     1    4.291          10.683   0.0  0.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 4.927     1    4.927          17.56    0.0  0.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 4.998     1    4.998          17.385   0.0  5.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 5.189     1    5.189          16.864   0.0  1.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 4.93      1    4.93           16.817   0.0  6.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 4.962     1    4.962          17.099   0.0  10.0        -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 4.854     1    4.854          16.386   0.0  16.0        -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 5.756     1    5.756          19.613   0.0  0.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 5.429     1    5.429          16.88    1.0  6.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 6.007     1    6.007          18.12    0.0  8.0         -        8.0     -       -             0        cn17653-ens4   
binary_ID0000012                    1   condorpool 7.195     1    7.195          20.791   0.0  8.0         -        8.0     -       -             0        cn17655-ens4   
binary_ID0000013                    1   condorpool 6.881     1    6.881          19.1     0.0  8.0         -        8.0     -       -             0        cn17655-ens4   
binary_ID0000010                    1   condorpool 6.719     1    6.719          17.349   1.0  3.0         -        7.0     -       -             0        cn17635-ens4   
binary_ID0000011                    1   condorpool 7.648     1    7.648          19.862   0.0  3.0         -        8.0     -       -             0        cn17635-ens4   
binary_ID0000009                    1   condorpool 7.377     1    7.377          18.99    0.0  3.0         -        8.0     -       -             0        cn17656-enp5s0 
binary_ID0000018                    1   condorpool 5.351     1    5.351          18.735   0.0  0.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 5.44      1    5.44           16.889   0.0  6.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 5.293     1    5.293          16.622   0.0  12.0        -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000016                    1   condorpool 4.679     1    4.679          13.77    1.0  17.0        -        5.0     -       -             0        cn17661-ens4   
binary_ID0000027                    1   condorpool 7.147     1    7.147          17.579   0.0  20.0        -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000017                    1   condorpool 6.582     1    6.582          15.622   0.0  14.0        -        7.0     -       -             0        cn17661-ens4   
binary_ID0000028                    1   condorpool 6.204     1    6.204          15.763   0.0  14.0        -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000025                    1   condorpool 6.743     1    6.743          20.131   0.0  14.0        -        7.0     -       -             0        cn17653-ens4   
binary_ID0000026                    1   condorpool 7.602     1    7.602          18.311   0.0  17.0        -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000023                    1   condorpool 5.645     1    5.645          18.186   0.0  0.0         -        6.0     -       -             0        cn17653-ens4   
binary_ID0000024                    1   condorpool 8.131     1    8.131          18.601   0.0  9.0         -        9.0     -       -             0        cn17637-ens4   
binary_ID0000021                    1   condorpool 8.131     1    8.131          19.391   0.0  9.0         -        9.0     -       -             0        cn17655-ens4   
binary_ID0000022                    1   condorpool 4.902     1    4.902          15.809   0.0  1.0         -        5.0     -       -             0        cn17653-ens4   
binary_ID0000030                    1   condorpool 7.624     1    7.624          17.502   0.0  9.0         -        8.0     -       -             0        cn17637-ens4   
binary_ID0000020                    1   condorpool 7.52      1    7.52           19.062   0.0  10.0        -        7.0     -       -             0        cn17655-ens4   
binary_ID0000031                    1   condorpool 6.956     1    6.956          18.513   0.0  4.0         -        7.0     -       -             0        cn17635-ens4   
process_ID0000036                   1   condorpool 6.864     1    6.864          19.487   0.0  0.0         -        7.0     -       -             0        cn17637-ens4   
process_ID0000047                   1   condorpool 7.25      1    7.25           20.782   0.0  0.0         -        7.0     -       -             0        cn17637-ens4   
process_ID0000037                   1   condorpool 6.332     1    6.332          19.562   0.0  0.0         -        7.0     -       -             0        cn17635-ens4   
process_ID0000038                   1   condorpool 5.596     1    5.596          16.821   0.0  7.0         -        6.0     -       -             0        cn17635-ens4   
process_ID0000039                   1   condorpool 8.086     1    8.086          19.507   0.0  7.0         -        8.0     -       -             0        cn17637-ens4   
process_ID0000032                   1   condorpool 6.691     1    6.691          17.695   0.0  3.0         -        7.0     -       -             0        cn17637-ens4   
process_ID0000043                   1   condorpool 5.81      1    5.81           17.249   0.0  6.0         -        6.0     -       -             0        cn17635-ens4   
process_ID0000033                   1   condorpool 7.176     1    7.176          20.031   0.0  8.0         -        7.0     -       -             0        cn17637-ens4   
process_ID0000044                   1   condorpool 6.647     1    6.647          19.666   0.0  9.0         -        6.0     -       -             0        cn17637-ens4   
process_ID0000034                   1   condorpool 5.435     1    5.435          17.315   1.0  12.0        -        6.0     -       -             0        cn17635-ens4   
process_ID0000045                   1   condorpool 6.677     1    6.677          18.324   1.0  8.0         -        7.0     -       -             0        cn17653-ens4   
process_ID0000035                   1   condorpool 5.799     1    5.799          16.263   1.0  8.0         -        6.0     -       -             0        cn17660-enp5s0 
process_ID0000046                   1   condorpool 5.672     1    5.672          16.565   1.0  8.0         -        6.0     -       -             0        cn17644-enp5s0 
process_ID0000040                   1   condorpool 8.69      1    8.69           16.249   0.0  8.0         -        9.0     -       -             0        cn17662-enp5s0 
process_ID0000041                   1   condorpool 6.845     1    6.845          17.572   1.0  8.0         -        7.0     -       -             0        cn17658-enp5s0 
process_ID0000042                   1   condorpool 6.111     1    6.111          17.456   1.0  3.0         -        6.0     -       -             0        cn17647-ens4   
process_ID0000058                   1   condorpool 5.368     1    5.368          18.699   0.0  0.0         -        6.0     -       -             0        cn17644-enp5s0 
process_ID0000048                   1   condorpool 6.306     1    6.306          16.35    1.0  0.0         -        7.0     -       -             0        cn17660-enp5s0 
process_ID0000059                   1   condorpool 5.976     1    5.976          20.073   1.0  0.0         -        7.0     -       -             0        cn17635-ens4   
process_ID0000049                   1   condorpool 5.528     1    5.528          16.174   0.0  6.0         -        6.0     -       -             0        cn17644-enp5s0 
process_ID0000054                   1   condorpool 5.795     1    5.795          16.931   0.0  7.0         -        6.0     -       -             0        cn17635-ens4   
process_ID0000055                   1   condorpool 6.508     1    6.508          17.61    0.0  1.0         -        6.0     -       -             0        cn17647-ens4   
process_ID0000056                   1   condorpool 8.983     1    8.983          13.202   0.0  0.0         -        9.0     -       -             0        cn17662-enp5s0 
process_ID0000057                   1   condorpool 5.096     1    5.096          16.294   0.0  6.0         -        5.0     -       -             0        cn17644-enp5s0 
process_ID0000050                   1   condorpool 5.11      1    5.11           16.791   0.0  7.0         -        5.0     -       -             0        cn17635-ens4   
