
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# d0a2f18a-b5d5-449c-aa41-73ae95dfaa7f (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.189     1    3.189          0.15     0.0  15.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 6.062     1    6.062          3.632    0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 7.203     1    7.203          6.81     0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 8.36      1    8.36           6.954    0.0  7.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 8.599     1    8.599          6.89     0.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 9.553     1    9.553          7.655    0.0  9.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 10.556    1    10.556         7.714    0.0  13.0        -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 12.63     1    12.63          6.919    1.0  13.0        -        13.0    -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 15.183    1    15.183         8.149    0.0  1.0         -        15.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 7.895     1    7.895          7.214    1.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 15.88     1    15.88          7.292    0.0  0.0         -        16.0    -       -             0        cn17653-ens4   
binary_ID0000012                    1   condorpool 8.57      1    8.57           7.432    0.0  8.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 8.143     1    8.143          7.162    0.0  15.0        -        8.0     -       -             0        cn17644-enp5s0 
