
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 27b701c1-64ea-4985-9340-fe13c7ddf27a (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.366     1    3.366          0.152    0.0  5.0         -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 8.395     1    8.395          1.025    0.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 13.289    1    13.289         0.704    0.0  1.0         -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 13.058    1    13.058         0.728    0.0  14.0        -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 16.095    1    16.095         0.896    0.0  0.0         -        17.0    -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 16.337    1    16.337         0.878    0.0  17.0        -        16.0    -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 15.812    1    15.812         0.754    0.0  25.0        -        16.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 15.096    1    15.096         0.687    0.0  25.0        -        15.0    -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 16.767    1    16.767         0.814    0.0  0.0         -        17.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 16.498    1    16.498         0.765    0.0  1.0         -        16.0    -       -             0        cn17653-ens4   
binary_ID0000015                    1   condorpool 17.527    1    17.527         0.801    0.0  1.0         -        17.0    -       -             0        cn17644-enp5s0 
