
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 666c263c-5c86-4aee-b04e-56e1d6cdbd2e (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.207     1    3.207          0.152    0.0  12.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 5.229     1    5.229          11.417   1.0  1.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 6.41      1    6.41           20.494   0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 6.412     1    6.412          19.639   0.0  7.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 6.596     1    6.596          20.708   0.0  1.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 6.189     1    6.189          19.494   0.0  8.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 6.045     1    6.045          19.556   0.0  13.0        -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 6.313     1    6.313          19.083   0.0  16.0        -        7.0     -       -             0        cn17658-enp5s0 
binary_ID0000008                    1   condorpool 6.3       1    6.3            20.746   0.0  0.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 6.472     1    6.472          18.443   1.0  6.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 6.766     1    6.766          19.865   0.0  13.0        -        7.0     -       -             0        cn17644-enp5s0 
