
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 771f2d23-ac1a-4c30-bd75-b77060fc50ff (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.641     1    3.641          0.161    0.0  13.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 6.979     1    6.979          4.749    0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 8.897     1    8.897          8.214    0.0  1.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 10.897    1    10.897         7.979    0.0  9.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 8.746     1    8.746          8.068    1.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 8.176     1    8.176          7.429    0.0  9.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 10.355    1    10.355         8.75     0.0  18.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 11.316    1    11.316         9.954    0.0  26.0        -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 11.117    1    11.117         9.089    0.0  1.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 12.906    1    12.906         9.824    0.0  0.0         -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 9.282     1    9.282          7.677    0.0  11.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 12.337    1    12.337         9.587    0.0  13.0        -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 11.74     1    11.74          9.556    0.0  20.0        -        12.0    -       -             0        cn17653-ens4   
binary_ID0000010                    1   condorpool 9.641     1    9.641          8.932    0.0  15.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000011                    1   condorpool 10.541    1    10.541         10.351   0.0  15.0        -        11.0    -       -             0        cn17637-ens4   
binary_ID0000009                    1   condorpool 12.099    1    12.099         10.009   0.0  15.0        -        13.0    -       -             0        cn17637-ens4   
binary_ID0000018                    1   condorpool 13.876    1    13.876         9.135    0.0  0.0         -        14.0    -       -             0        cn17637-ens4   
binary_ID0000029                    1   condorpool 30.405    1    30.405         9.665    0.0  0.0         -        31.0    -       -             0        cn17653-ens4   
binary_ID0000019                    1   condorpool 9.131     1    9.131          7.81     0.0  0.0         -        10.0    -       -             0        cn17637-ens4   
binary_ID0000016                    1   condorpool 29.686    1    29.686         10.515   0.0  0.0         -        30.0    -       -             0        cn17644-enp5s0 
binary_ID0000027                    1   condorpool 9.063     1    9.063          8.005    0.0  1.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000017                    1   condorpool 14.326    1    14.326         10.798   0.0  5.0         -        14.0    -       -             0        cn17637-ens4   
binary_ID0000028                    1   condorpool 11.478    1    11.478         9.767    0.0  4.0         -        12.0    -       -             0        cn17653-ens4   
binary_ID0000025                    1   condorpool 15.621    1    15.621         10.166   0.0  8.0         -        16.0    -       -             0        cn17637-ens4   
binary_ID0000026                    1   condorpool 15.567    1    15.567         10.794   0.0  15.0        -        15.0    -       -             0        cn17644-enp5s0 
binary_ID0000023                    1   condorpool 11.646    1    11.646         10.639   0.0  15.0        -        11.0    -       -             0        cn17635-ens4   
binary_ID0000024                    1   condorpool 12.075    1    12.075         9.957    0.0  10.0        -        12.0    -       -             0        cn17635-ens4   
binary_ID0000021                    1   condorpool 12.528    1    12.528         10.313   0.0  10.0        -        13.0    -       -             0        cn17655-ens4   
binary_ID0000022                    1   condorpool 10.979    1    10.979         10.009   0.0  10.0        -        11.0    -       -             0        cn17655-ens4   
binary_ID0000030                    1   condorpool 13.077    1    13.077         10.082   0.0  10.0        -        13.0    -       -             0        cn17645-ens4   
binary_ID0000020                    1   condorpool 11.696    1    11.696         10.058   0.0  10.0        -        12.0    -       -             0        cn17645-ens4   
binary_ID0000031                    1   condorpool 10.701    1    10.701         9.168    0.0  4.0         -        11.0    -       -             0        cn17642-enp5s0 
process_ID0000036                   1   condorpool 11.911    1    11.911         10.146   0.0  0.0         -        12.0    -       -             0        cn17644-enp5s0 
process_ID0000047                   1   condorpool 12.332    1    12.332         10.446   0.0  0.0         -        12.0    -       -             0        cn17637-ens4   
