
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# b451adfe-0a74-4a58-aa45-ab537074721c (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.196     1    3.196          0.151    0.0  16.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 1.772     1    1.772          4.858    0.0  0.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 1.903     1    1.903          6.448    0.0  0.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 1.857     1    1.857          6.71     0.0  2.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 2.002     1    2.002          7.253    1.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 2.004     1    2.004          7.058    0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 1.911     1    1.911          6.579    0.0  6.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 1.871     1    1.871          6.838    0.0  8.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 2.032     1    2.032          7.172    0.0  0.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 1.858     1    1.858          6.926    0.0  3.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 1.887     1    1.887          7.123    0.0  5.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 1.892     1    1.892          6.577    0.0  7.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 2.018     1    2.018          7.306    0.0  9.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 1.851     1    1.851          6.732    0.0  7.0         -        2.0     -       -             0        cn17644-enp5s0 
