
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 179a00fb-9163-444b-9493-b4230c3bb417 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.189     1    3.189          0.148    0.0  15.0        -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 1.531     1    1.531          0.201    0.0  0.0         -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 2.852     1    2.852          0.154    0.0  1.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 2.521     1    2.521          0.129    0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 2.869     1    2.869          0.126    0.0  1.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 2.747     1    2.747          0.153    0.0  4.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 2.739     1    2.739          0.151    0.0  6.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 2.863     1    2.863          0.162    1.0  8.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 2.804     1    2.804          0.135    0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 2.809     1    2.809          0.136    0.0  0.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 2.397     1    2.397          0.126    0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 2.728     1    2.728          0.134    0.0  5.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 2.7       1    2.7            0.13     0.0  6.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 2.772     1    2.772          0.135    1.0  2.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000011                    1   condorpool 2.849     1    2.849          0.13     1.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000009                    1   condorpool 2.163     1    2.163          0.122    1.0  6.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000018                    1   condorpool 2.774     1    2.774          0.152    0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 2.806     1    2.806          0.134    0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 2.664     1    2.664          0.132    0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000016                    1   condorpool 2.824     1    2.824          0.131    0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000027                    1   condorpool 2.659     1    2.659          0.117    0.0  6.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000017                    1   condorpool 2.757     1    2.757          0.141    0.0  1.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000028                    1   condorpool 2.803     1    2.803          0.154    0.0  5.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000025                    1   condorpool 3.043     1    3.043          0.202    0.0  5.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000026                    1   condorpool 2.816     1    2.816          0.135    0.0  8.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000023                    1   condorpool 2.935     1    2.935          0.154    0.0  8.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000024                    1   condorpool 3.005     1    3.005          0.142    1.0  5.0         -        3.0     -       -             0        cn17653-ens4   
