
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 33ba3feb-9e57-4c3a-9c7f-fd2a0d012800 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.192     1    3.192          0.149    1.0  12.0        -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 6.77      1    6.77           14.45    0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 7.852     1    7.852          23.625   0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 7.904     1    7.904          19.914   1.0  7.0         -        9.0     -       -             0        cn17661-ens4   
binary_ID0000007                    1   condorpool 8.954     1    8.954          25.072   0.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 9.019     1    9.019          23.689   0.0  9.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 9.293     1    9.293          24.719   1.0  19.0        -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 8.995     1    8.995          24.764   1.0  20.0        -        10.0    -       -             0        cn17651-ens4   
binary_ID0000008                    1   condorpool 8.62      1    8.62           23.967   1.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 8.911     1    8.911          24.733   1.0  0.0         -        9.0     -       -             0        cn17651-ens4   
binary_ID0000015                    1   condorpool 8.671     1    8.671          23.666   0.0  9.0         -        9.0     -       -             0        cn17644-enp5s0 
