
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 3a1d4870-1094-47da-b19d-9d5f1aa54155 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.195     1    3.195          0.153    0.0  15.0        -        4.0     -       -             0        cn17643-ens4   
createfile_ID0000001                1   condorpool 2.255     1    2.255          7.552    0.0  1.0         -        2.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 5.885     1    5.885          1.347    1.0  0.0         -        6.0     -       -             0        cn17643-ens4   
binary_ID0000003                    1   condorpool 2.912     1    2.912          10.808   0.0  6.0         -        5.0     -       -             0        cn17643-ens4   
binary_ID0000002                    1   condorpool 3.659     1    3.659          9.984    0.0  10.0        -        4.0     -       -             0        cn17648-enp5s0 
binary_ID0000007                    1   condorpool 3.159     1    3.159          10.483   0.0  6.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 2.865     1    2.865          9.915    0.0  6.0         -        4.0     -       -             0        cn17645-ens4   
binary_ID0000006                    1   condorpool 2.798     1    2.798          10.974   0.0  6.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000004                    1   condorpool 4.333     1    4.333          11.243   0.0  5.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000008                    1   condorpool 2.942     1    2.942          10.966   0.0  0.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000014                    1   condorpool 3.421     1    3.421          10.739   0.0  0.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000015                    1   condorpool 3.854     1    3.854          10.753   0.0  0.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 3.354     1    3.354          9.558    1.0  3.0         -        4.0     -       -             0        cn17643-ens4   
binary_ID0000013                    1   condorpool 2.724     1    2.724          10.185   1.0  4.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000010                    1   condorpool 2.725     1    2.725          11.121   1.0  1.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000011                    1   condorpool 2.517     1    2.517          10.076   1.0  1.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000009                    1   condorpool 2.577     1    2.577          9.593    0.0  4.0         -        8.0     -       -             0        cn17651-ens4   
binary_ID0000018                    1   condorpool 2.825     1    2.825          10.565   0.0  0.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000029                    1   condorpool 2.945     1    2.945          10.051   0.0  0.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000019                    1   condorpool 3.574     1    3.574          11.002   1.0  4.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000016                    1   condorpool 2.93      1    2.93           9.955    1.0  4.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000027                    1   condorpool 2.8       1    2.8            9.528    1.0  8.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000017                    1   condorpool 2.769     1    2.769          10.425   1.0  2.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000028                    1   condorpool 2.988     1    2.988          9.282    0.0  5.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000025                    1   condorpool 2.916     1    2.916          10.53    0.0  5.0         -        3.0     -       -             0        cn17656-enp5s0 
