
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 7ca603e8-a8be-42cf-93b4-8c27f3663d89 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.194     1    3.194          0.151    0.0  17.0        -        3.0     -       -             0        cn17643-ens4   
createfile_ID0000001                1   condorpool 2.036     1    2.036          6.559    0.0  0.0         -        2.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 5.341     1    5.341          1.33     0.0  0.0         -        6.0     -       -             0        cn17643-ens4   
binary_ID0000003                    1   condorpool 2.753     1    2.753          10.759   0.0  6.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000002                    1   condorpool 2.844     1    2.844          10.954   0.0  9.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000007                    1   condorpool 3.039     1    3.039          10.841   0.0  5.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000005                    1   condorpool 3.024     1    3.024          10.528   0.0  5.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000006                    1   condorpool 3.067     1    3.067          10.583   0.0  5.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000004                    1   condorpool 3.255     1    3.255          11.155   0.0  5.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000008                    1   condorpool 3.095     1    3.095          10.439   0.0  0.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000014                    1   condorpool 3.138     1    3.138          10.525   0.0  1.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000015                    1   condorpool 3.21      1    3.21           10.536   0.0  1.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000012                    1   condorpool 3.71      1    3.71           10.049   0.0  0.0         -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000013                    1   condorpool 2.728     1    2.728          10.187   0.0  3.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000010                    1   condorpool 2.736     1    2.736          9.857    0.0  0.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000011                    1   condorpool 3.251     1    3.251          11.232   0.0  0.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000009                    1   condorpool 3.289     1    3.289          11.078   0.0  0.0         -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000018                    1   condorpool 3.152     1    3.152          11.503   0.0  1.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000029                    1   condorpool 2.756     1    2.756          10.657   0.0  0.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000019                    1   condorpool 2.891     1    2.891          11.741   0.0  0.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000016                    1   condorpool 3.13      1    3.13           10.934   0.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000027                    1   condorpool 2.812     1    2.812          11.024   0.0  3.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000017                    1   condorpool 2.823     1    2.823          9.653    0.0  0.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000028                    1   condorpool 2.889     1    2.889          10.702   0.0  0.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000025                    1   condorpool 2.824     1    2.824          10.268   0.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000026                    1   condorpool 2.772     1    2.772          10.762   0.0  1.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000023                    1   condorpool 2.946     1    2.946          9.684    0.0  3.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000024                    1   condorpool 2.972     1    2.972          10.372   0.0  1.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000021                    1   condorpool 2.632     1    2.632          10.704   0.0  0.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000022                    1   condorpool 2.835     1    2.835          10.803   0.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
