
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 5653126b-b456-4208-a9b3-38b8d36b5c68 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.193     1    3.193          0.151    1.0  17.0        -        3.0     -       -             0        cn17658-enp5s0 
createfile_ID0000001                1   condorpool 0.412     1    0.412          0.15     0.0  0.0         -        0.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_0_0     1   condorpool 2.438     1    2.438          0.365    0.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000003                    1   condorpool 0.192     1    0.192          0.181    0.0  3.0         -        0.0     -       -             0        cn17658-enp5s0 
binary_ID0000002                    1   condorpool 0.64      1    0.64           0.148    0.0  4.0         -        0.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_1_1     1   condorpool 2.731     1    2.731          0.371    0.0  15.0        -        3.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_1_0     1   condorpool 2.462     1    2.462          0.376    0.0  15.0        -        3.0     -       -             0        cn17641-ens4   
binary_ID0000007                    1   condorpool 0.302     1    0.302          0.267    0.0  15.0        -        0.0     -       -             0        cn17643-ens4   
binary_ID0000005                    1   condorpool 0.663     1    0.663          0.225    0.0  15.0        -        1.0     -       -             0        cn17651-ens4   
binary_ID0000006                    1   condorpool 0.732     1    0.732          0.234    0.0  15.0        -        1.0     -       -             0        cn17656-enp5s0 
binary_ID0000004                    1   condorpool 0.289     1    0.289          0.219    0.0  9.0         -        1.0     -       -             0        cn17652-enp5s0 
stage_out_remote_condorpool_2_1     1   condorpool 4.847     1    4.847          0.571    0.0  0.0         -        5.0     -       -             0        cn17652-enp5s0 
stage_out_remote_condorpool_2_0     1   condorpool 4.151     1    4.151          0.532    0.0  0.0         -        5.0     -       -             0        cn17656-enp5s0 
binary_ID0000008                    1   condorpool 0.237     1    0.237          0.213    0.0  0.0         -        1.0     -       -             0        cn17651-ens4   
binary_ID0000014                    1   condorpool 0.292     1    0.292          0.263    0.0  1.0         -        0.0     -       -             0        cn17643-ens4   
binary_ID0000015                    1   condorpool 0.254     1    0.254          0.222    0.0  1.0         -        0.0     -       -             0        cn17651-ens4   
binary_ID0000012                    1   condorpool 0.284     1    0.284          0.218    0.0  0.0         -        0.0     -       -             0        cn17651-ens4   
binary_ID0000013                    1   condorpool 0.722     1    0.722          0.277    0.0  0.0         -        1.0     -       -             0        cn17643-ens4   
binary_ID0000010                    1   condorpool 0.273     1    0.273          0.217    0.0  0.0         -        1.0     -       -             0        cn17651-ens4   
binary_ID0000011                    1   condorpool 0.741     1    0.741          0.268    0.0  1.0         -        1.0     -       -             0        cn17643-ens4   
binary_ID0000009                    1   condorpool 2.492     1    2.492          0.181    0.0  1.0         -        3.0     -       -             0        cn17651-ens4   
stage_out_remote_condorpool_3_0     1   condorpool 4.977     1    4.977          0.925    0.0  1.0         -        5.0     -       -             0        cn17651-ens4   
