
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# d8dda39f-e5f9-45f5-a4f9-0f30c6f8d15c (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.209     1    3.209          0.153    0.0  17.0        -        3.0     -       -             0        cn17643-ens4   
createfile_ID0000001                1   condorpool 1.29      1    1.29           2.462    0.0  0.0         -        2.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 2.582     1    2.582          0.301    0.0  0.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000003                    1   condorpool 1.767     1    1.767          2.853    0.0  3.0         -        2.0     -       -             0        cn17643-ens4   
binary_ID0000002                    1   condorpool 1.369     1    1.369          2.918    0.0  5.0         -        2.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_1_0     1   condorpool 2.578     1    2.578          0.298    0.0  6.0         -        3.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_1_1     1   condorpool 2.582     1    2.582          0.305    0.0  6.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000007                    1   condorpool 2.653     1    2.653          3.653    0.0  5.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000005                    1   condorpool 1.36      1    1.36           3.497    0.0  5.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000006                    1   condorpool 4.652     1    4.652          2.838    0.0  6.0         -        5.0     -       -             0        cn17641-ens4   
binary_ID0000004                    1   condorpool 2.676     1    2.676          3.469    0.0  0.0         -        3.0     -       -             0        cn17645-ens4   
stage_out_remote_condorpool_2_1     1   condorpool 4.164     1    4.164          0.448    0.0  1.0         -        4.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_2_0     1   condorpool 4.16      1    4.16           0.428    1.0  0.0         -        4.0     -       -             0        cn17656-enp5s0 
binary_ID0000008                    1   condorpool 1.425     1    1.425          2.943    1.0  0.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000014                    1   condorpool 1.297     1    1.297          3.396    1.0  0.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000015                    1   condorpool 1.337     1    1.337          3.435    1.0  2.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000012                    1   condorpool 1.452     1    1.452          2.425    1.0  2.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000013                    1   condorpool 1.327     1    1.327          3.457    3.0  0.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000010                    1   condorpool 1.244     1    1.244          3.51     3.0  0.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000011                    1   condorpool 1.343     1    1.343          3.468    3.0  2.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000009                    1   condorpool 1.319     1    1.319          3.265    3.0  3.0         -        2.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_3_0     1   condorpool 4.294     1    4.294          0.744    0.0  0.0         -        5.0     -       -             0        cn17645-ens4   
stage_out_remote_condorpool_3_1     1   condorpool 7.276     1    7.276          0.749    1.0  0.0         -        8.0     -       -             0        cn17641-ens4   
binary_ID0000018                    1   condorpool 1.348     1    1.348          3.568    1.0  5.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000029                    1   condorpool 1.391     1    1.391          2.894    1.0  7.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000019                    1   condorpool 1.132     1    1.132          2.686    1.0  8.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000016                    1   condorpool 1.403     1    1.403          2.908    1.0  4.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000027                    1   condorpool 1.206     1    1.206          3.233    0.0  5.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000017                    1   condorpool 1.393     1    1.393          2.866    0.0  5.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000028                    1   condorpool 1.335     1    1.335          2.93     0.0  6.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000025                    1   condorpool 1.866     1    1.866          3.018    0.0  7.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000026                    1   condorpool 1.275     1    1.275          2.758    0.0  3.0         -        1.0     -       -             0        cn17641-ens4   
binary_ID0000023                    1   condorpool 1.553     1    1.553          2.942    0.0  4.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000024                    1   condorpool 1.559     1    1.559          2.774    0.0  4.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000021                    1   condorpool 1.348     1    1.348          3.523    0.0  6.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000022                    1   condorpool 1.51      1    1.51           3.249    0.0  6.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000030                    1   condorpool 1.388     1    1.388          2.947    0.0  3.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000020                    1   condorpool 1.341     1    1.341          3.041    1.0  4.0         -        1.0     -       -             0        cn17641-ens4   
binary_ID0000031                    1   condorpool 1.338     1    1.338          3.457    1.0  4.0         -        2.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_4_1     1   condorpool 5.88      1    5.88           1.432    0.0  0.0         -        6.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_4_0     1   condorpool 8.997     1    8.997          1.424    1.0  6.0         -        9.0     -       -             0        cn17643-ens4   
binary_ID0000038                    1   condorpool 1.362     1    1.362          2.864    0.0  16.0        -        1.0     -       -             0        cn17643-ens4   
binary_ID0000039                    1   condorpool 1.336     1    1.336          2.761    0.0  17.0        -        2.0     -       -             0        cn17643-ens4   
binary_ID0000036                    1   condorpool 1.365     1    1.365          2.883    0.0  19.0        -        2.0     -       -             0        cn17643-ens4   
binary_ID0000058                    1   condorpool 1.365     1    1.365          2.824    0.0  16.0        -        1.0     -       -             0        cn17643-ens4   
