
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# db324af8-2656-47e7-9daf-6fb2b87ad547 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.649     1    3.649          0.285    0.0  20.0        -        3.0     -       -             0        cn17641-ens4   
createfile_ID0000001                1   condorpool 0.296     1    0.296          0.29     0.0  0.0         -        0.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 2.914     1    2.914          0.622    0.0  0.0         -        3.0     -       -             0        cn17641-ens4   
binary_ID0000003                    1   condorpool 0.358     1    0.358          0.341    0.0  3.0         -        1.0     -       -             0        cn17641-ens4   
binary_ID0000002                    1   condorpool 0.365     1    0.365          0.329    0.0  4.0         -        1.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_1_1     1   condorpool 2.654     1    2.654          0.594    0.0  13.0        -        3.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_1_0     1   condorpool 2.665     1    2.665          0.601    0.0  12.0        -        3.0     -       -             0        cn17643-ens4   
binary_ID0000007                    1   condorpool 0.746     1    0.746          0.476    0.0  12.0        -        1.0     -       -             0        cn17651-ens4   
binary_ID0000005                    1   condorpool 0.496     1    0.496          0.484    0.0  12.0        -        1.0     -       -             0        cn17656-enp5s0 
binary_ID0000006                    1   condorpool 0.582     1    0.582          0.569    0.0  12.0        -        1.0     -       -             0        cn17658-enp5s0 
binary_ID0000004                    1   condorpool 1.389     1    1.389          0.498    0.0  7.0         -        2.0     -       -             0        cn17652-enp5s0 
stage_out_remote_condorpool_2_1     1   condorpool 4.757     1    4.757          1.109    0.0  1.0         -        5.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_2_0     1   condorpool 4.14      1    4.14           1.169    0.0  1.0         -        4.0     -       -             0        cn17652-enp5s0 
binary_ID0000008                    1   condorpool 1.422     1    1.422          0.49     0.0  0.0         -        1.0     -       -             0        cn17651-ens4   
binary_ID0000014                    1   condorpool 0.489     1    0.489          0.475    0.0  0.0         -        0.0     -       -             0        cn17656-enp5s0 
binary_ID0000015                    1   condorpool 0.979     1    0.979          0.338    0.0  1.0         -        1.0     -       -             0        cn17656-enp5s0 
binary_ID0000012                    1   condorpool 1.419     1    1.419          0.488    1.0  0.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000013                    1   condorpool 0.538     1    0.538          0.512    1.0  0.0         -        1.0     -       -             0        cn17656-enp5s0 
binary_ID0000010                    1   condorpool 1.637     1    1.637          0.517    1.0  1.0         -        2.0     -       -             0        cn17656-enp5s0 
binary_ID0000011                    1   condorpool 0.803     1    0.803          0.453    1.0  2.0         -        1.0     -       -             0        cn17651-ens4   
binary_ID0000009                    1   condorpool 0.331     1    0.331          0.308    1.0  3.0         -        0.0     -       -             0        cn17651-ens4   
stage_out_remote_condorpool_3_0     1   condorpool 5.53      1    5.53           1.596    0.0  0.0         -        6.0     -       -             0        cn17651-ens4   
stage_out_remote_condorpool_3_1     1   condorpool 5.24      1    5.24           1.677    0.0  0.0         -        6.0     -       -             0        cn17656-enp5s0 
binary_ID0000018                    1   condorpool 0.321     1    0.321          0.258    0.0  6.0         -        0.0     -       -             0        cn17656-enp5s0 
binary_ID0000029                    1   condorpool 1.379     1    1.379          0.489    0.0  6.0         -        1.0     -       -             0        cn17651-ens4   
binary_ID0000019                    1   condorpool 0.969     1    0.969          0.328    0.0  6.0         -        1.0     -       -             0        cn17656-enp5s0 
binary_ID0000016                    1   condorpool 1.238     1    1.238          0.508    0.0  1.0         -        2.0     -       -             0        cn17641-ens4   
binary_ID0000027                    1   condorpool 0.533     1    0.533          0.486    0.0  1.0         -        1.0     -       -             0        cn17643-ens4   
binary_ID0000017                    1   condorpool 0.503     1    0.503          0.484    0.0  1.0         -        1.0     -       -             0        cn17658-enp5s0 
binary_ID0000028                    1   condorpool 0.497     1    0.497          0.475    0.0  1.0         -        1.0     -       -             0        cn17652-enp5s0 
binary_ID0000025                    1   condorpool 1.459     1    1.459          0.491    0.0  2.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000026                    1   condorpool 0.525     1    0.525          0.512    1.0  0.0         -        0.0     -       -             0        cn17641-ens4   
binary_ID0000023                    1   condorpool 0.876     1    0.876          0.456    1.0  0.0         -        1.0     -       -             0        cn17643-ens4   
binary_ID0000024                    1   condorpool 1.299     1    1.299          0.341    1.0  0.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000021                    1   condorpool 1.625     1    1.625          0.484    1.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000022                    1   condorpool 0.493     1    0.493          0.466    1.0  0.0         -        1.0     -       -             0        cn17652-enp5s0 
binary_ID0000030                    1   condorpool 1.383     1    1.383          0.518    0.0  1.0         -        1.0     -       -             0        cn17641-ens4   
binary_ID0000020                    1   condorpool 1.717     1    1.717          0.465    0.0  1.0         -        2.0     -       -             0        cn17643-ens4   
binary_ID0000031                    1   condorpool 0.457     1    0.457          0.444    0.0  1.0         -        0.0     -       -             0        cn17645-ens4   
stage_out_remote_condorpool_4_1     1   condorpool 7.78      1    7.78           3.697    0.0  0.0         -        8.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_4_0     1   condorpool 6.872     1    6.872          3.386    0.0  0.0         -        7.0     -       -             0        cn17643-ens4   
binary_ID0000038                    1   condorpool 1.54      1    1.54           0.472    0.0  0.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000039                    1   condorpool 2.028     1    2.028          0.503    0.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000036                    1   condorpool 1.053     1    1.053          0.483    0.0  0.0         -        2.0     -       -             0        cn17652-enp5s0 
binary_ID0000058                    1   condorpool 0.508     1    0.508          0.451    0.0  1.0         -        0.0     -       -             0        cn17645-ens4   
binary_ID0000037                    1   condorpool 0.525     1    0.525          0.5      0.0  0.0         -        0.0     -       -             0        cn17658-enp5s0 
binary_ID0000059                    1   condorpool 1.262     1    1.262          0.501    1.0  0.0         -        1.0     -       -             0        cn17652-enp5s0 
binary_ID0000034                    1   condorpool 0.495     1    0.495          0.457    1.0  0.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000056                    1   condorpool 1.466     1    1.466          0.478    1.0  1.0         -        1.0     -       -             0        cn17658-enp5s0 
binary_ID0000035                    1   condorpool 1.487     1    1.487          0.344    0.0  0.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000057                    1   condorpool 0.362     1    0.362          0.336    0.0  0.0         -        1.0     -       -             0        cn17658-enp5s0 
binary_ID0000032                    1   condorpool 0.577     1    0.577          0.462    0.0  0.0         -        1.0     -       -             0        cn17652-enp5s0 
binary_ID0000054                    1   condorpool 1.906     1    1.906          0.462    0.0  1.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000033                    1   condorpool 0.331     1    0.331          0.327    0.0  1.0         -        1.0     -       -             0        cn17652-enp5s0 
binary_ID0000055                    1   condorpool 1.375     1    1.375          0.456    0.0  0.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000052                    1   condorpool 0.486     1    0.486          0.471    1.0  0.0         -        1.0     -       -             0        cn17658-enp5s0 
binary_ID0000053                    1   condorpool 0.496     1    0.496          0.486    0.0  0.0         -        1.0     -       -             0        cn17652-enp5s0 
binary_ID0000050                    1   condorpool 0.479     1    0.479          0.452    0.0  1.0         -        0.0     -       -             0        cn17658-enp5s0 
binary_ID0000051                    1   condorpool 0.497     1    0.497          0.485    0.0  1.0         -        0.0     -       -             0        cn17652-enp5s0 
binary_ID0000049                    1   condorpool 0.518     1    0.518          0.473    0.0  0.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000047                    1   condorpool 1.413     1    1.413          0.493    0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000048                    1   condorpool 0.479     1    0.479          0.467    0.0  1.0         -        0.0     -       -             0        cn17652-enp5s0 
binary_ID0000045                    1   condorpool 0.519     1    0.519          0.476    0.0  1.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000046                    1   condorpool 0.486     1    0.486          0.456    0.0  1.0         -        1.0     -       -             0        cn17652-enp5s0 
binary_ID0000043                    1   condorpool 0.485     1    0.485          0.441    0.0  0.0         -        1.0     -       -             0        cn17645-ens4   
binary_ID0000044                    1   condorpool 0.48      1    0.48           0.462    0.0  0.0         -        1.0     -       -             0        cn17658-enp5s0 
