
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# c61058e0-3856-4e06-ba7b-6415fb96d863 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.193     1    3.193          0.151    6.0  17.0        -        5.0     -       -             0        cn17658-enp5s0 
createfile_ID0000001                1   condorpool 1.529     1    1.529          3.393    0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_0_0     1   condorpool 3.283     1    3.283          0.425    1.0  0.0         -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000003                    1   condorpool 1.576     1    1.576          4.626    0.0  4.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000002                    1   condorpool 1.582     1    1.582          4.709    0.0  6.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000007                    1   condorpool 1.552     1    1.552          4.511    1.0  5.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000005                    1   condorpool 1.713     1    1.713          4.618    1.0  5.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 1.561     1    1.561          4.495    1.0  5.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000004                    1   condorpool 1.612     1    1.612          4.449    1.0  5.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000008                    1   condorpool 1.639     1    1.639          3.822    0.0  0.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000014                    1   condorpool 1.542     1    1.542          4.519    0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000015                    1   condorpool 1.587     1    1.587          4.588    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 1.629     1    1.629          4.582    0.0  0.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000013                    1   condorpool 1.587     1    1.587          3.801    0.0  2.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000010                    1   condorpool 2.074     1    2.074          4.214    1.0  1.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000011                    1   condorpool 2.804     1    2.804          4.369    1.0  1.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000009                    1   condorpool 2.188     1    2.188          4.518    1.0  1.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000018                    1   condorpool 1.547     1    1.547          4.311    0.0  0.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000029                    1   condorpool 1.511     1    1.511          4.3      0.0  0.0         -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000019                    1   condorpool 1.599     1    1.599          3.869    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000016                    1   condorpool 1.629     1    1.629          4.607    0.0  0.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000027                    1   condorpool 1.568     1    1.568          3.724    0.0  2.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000017                    1   condorpool 1.684     1    1.684          3.709    0.0  0.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000028                    1   condorpool 1.599     1    1.599          3.63     0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000025                    1   condorpool 1.572     1    1.572          4.589    0.0  1.0         -        1.0     -       -             0        cn17639-ens4   
binary_ID0000026                    1   condorpool 1.541     1    1.541          4.415    0.0  1.0         -        1.0     -       -             0        cn17651-ens4   
binary_ID0000023                    1   condorpool 1.819     1    1.819          4.693    0.0  2.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000024                    1   condorpool 1.897     1    1.897          4.536    0.0  0.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000021                    1   condorpool 1.599     1    1.599          4.482    0.0  1.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000022                    1   condorpool 1.723     1    1.723          4.024    0.0  1.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000030                    1   condorpool 1.755     1    1.755          4.738    0.0  0.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000020                    1   condorpool 1.524     1    1.524          4.304    0.0  3.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000031                    1   condorpool 1.539     1    1.539          4.385    1.0  1.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000038                    1   condorpool 1.602     1    1.602          4.382    0.0  0.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000039                    1   condorpool 1.793     1    1.793          4.754    0.0  1.0         -        2.0     -       -             0        cn17658-enp5s0 
