
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# c91e184f-dbb0-4beb-97e4-5cfb5d413ac5 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.199     1    3.199          0.154    0.0  15.0        -        4.0     -       -             0        cn17643-ens4   
createfile_ID0000001                1   condorpool 1.338     1    1.338          3.154    0.0  0.0         -        2.0     -       -             0        cn17643-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 2.83      1    2.83           0.441    0.0  0.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000003                    1   condorpool 1.534     1    1.534          4.445    0.0  3.0         -        2.0     -       -             0        cn17643-ens4   
binary_ID0000002                    1   condorpool 1.536     1    1.536          4.524    0.0  5.0         -        2.0     -       -             0        cn17643-ens4   
binary_ID0000007                    1   condorpool 1.535     1    1.535          4.404    0.0  9.0         -        2.0     -       -             0        cn17643-ens4   
binary_ID0000005                    1   condorpool 1.585     1    1.585          4.778    0.0  9.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000006                    1   condorpool 1.547     1    1.547          4.472    0.0  9.0         -        2.0     -       -             0        cn17656-enp5s0 
binary_ID0000004                    1   condorpool 1.578     1    1.578          3.78     0.0  9.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000008                    1   condorpool 1.573     1    1.573          3.855    0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000014                    1   condorpool 1.576     1    1.576          4.417    0.0  0.0         -        2.0     -       -             0        cn17656-enp5s0 
