
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 66a7b0ab-a85e-442f-9e8a-1e67b9634cbd (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.888     1    3.888          0.722    1.0  13.0        -        4.0     -       -             0        cn17641-ens4   
createfile_ID0000001                1   condorpool 2.27      1    2.27           0.559    2.0  0.0         -        3.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 4.257     1    4.257          1.06     0.0  1.0         -        5.0     -       -             0        cn17641-ens4   
binary_ID0000003                    1   condorpool 0.72      1    0.72           0.679    0.0  6.0         -        1.0     -       -             0        cn17641-ens4   
binary_ID0000002                    1   condorpool 1.399     1    1.399          0.639    2.0  7.0         -        1.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_1_0     1   condorpool 3.379     1    3.379          0.999    0.0  4.0         -        3.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_1_1     1   condorpool 3.063     1    3.063          1.014    0.0  3.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000007                    1   condorpool 2.461     1    2.461          0.98     0.0  3.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000005                    1   condorpool 3.613     1    3.613          0.941    0.0  3.0         -        4.0     -       -             0        cn17656-enp5s0 
binary_ID0000006                    1   condorpool 2.063     1    2.063          0.957    0.0  3.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000004                    1   condorpool 2.962     1    2.962          0.996    0.0  1.0         -        3.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_2_0     1   condorpool 4.162     1    4.162          1.771    1.0  0.0         -        5.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_2_1     1   condorpool 6.525     1    6.525          1.704    0.0  1.0         -        6.0     -       -             0        cn17656-enp5s0 
binary_ID0000008                    1   condorpool 0.973     1    0.973          0.897    1.0  1.0         -        1.0     -       -             0        cn17651-ens4   
binary_ID0000014                    1   condorpool 3.015     1    3.015          1.006    1.0  2.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000015                    1   condorpool 1.771     1    1.771          0.707    0.0  4.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000012                    1   condorpool 2.908     1    2.908          0.905    0.0  0.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000013                    1   condorpool 1.032     1    1.032          1.0      0.0  1.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000010                    1   condorpool 1.298     1    1.298          0.601    0.0  2.0         -        1.0     -       -             0        cn17656-enp5s0 
binary_ID0000011                    1   condorpool 3.058     1    3.058          0.946    0.0  3.0         -        3.0     -       -             0        cn17658-enp5s0 
