
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# cd95a8a8-8b6f-4243-ba10-3c35b7839df5 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.262     1    3.262          0.149    0.0  7.0         -        4.0     -       -             0        cn17641-ens4   
createfile_ID0000001                1   condorpool 1.517     1    1.517          0.645    1.0  1.0         -        1.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 4.101     1    4.101          1.156    0.0  0.0         -        4.0     -       -             0        cn17641-ens4   
binary_ID0000003                    1   condorpool 1.057     1    1.057          0.728    0.0  5.0         -        1.0     -       -             0        cn17641-ens4   
binary_ID0000002                    1   condorpool 1.616     1    1.616          0.827    0.0  6.0         -        2.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_1_0     1   condorpool 3.331     1    3.331          1.231    0.0  7.0         -        4.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_1_1     1   condorpool 3.365     1    3.365          0.972    0.0  6.0         -        4.0     -       -             0        cn17643-ens4   
binary_ID0000007                    1   condorpool 2.526     1    2.526          1.036    0.0  6.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000005                    1   condorpool 2.806     1    2.806          0.937    0.0  6.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000006                    1   condorpool 1.154     1    1.154          0.989    0.0  6.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000004                    1   condorpool 1.082     1    1.082          0.956    0.0  1.0         -        2.0     -       -             0        cn17652-enp5s0 
stage_out_remote_condorpool_2_1     1   condorpool 6.379     1    6.379          1.54     1.0  1.0         -        6.0     -       -             0        cn17656-enp5s0 
stage_out_remote_condorpool_2_0     1   condorpool 6.754     1    6.754          1.81     1.0  1.0         -        7.0     -       -             0        cn17658-enp5s0 
binary_ID0000008                    1   condorpool 1.066     1    1.066          0.987    0.0  0.0         -        1.0     -       -             0        cn17651-ens4   
