
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 1cbd73d7-f471-4712-9a50-623e273f0a18 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.213     1    3.213          0.151    1.0  16.0        -        5.0     -       -             0        cn17658-enp5s0 
createfile_ID0000001                1   condorpool 2.015     1    2.015          4.348    1.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_0_0     1   condorpool 3.499     1    3.499          0.735    1.0  0.0         -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000003                    1   condorpool 2.471     1    2.471          5.627    0.0  4.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000002                    1   condorpool 2.168     1    2.168          7.151    0.0  7.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000007                    1   condorpool 2.331     1    2.331          5.606    0.0  5.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000005                    1   condorpool 2.422     1    2.422          5.457    0.0  5.0         -        3.0     -       -             0        cn17662-enp5s0 
binary_ID0000006                    1   condorpool 2.367     1    2.367          7.009    0.0  4.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 2.425     1    2.425          5.362    0.0  2.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000008                    1   condorpool 2.155     1    2.155          5.574    2.0  0.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000014                    1   condorpool 2.455     1    2.455          7.508    2.0  0.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 3.73      1    3.73           7.036    0.0  3.0         -        5.0     -       -             0        cn17655-ens4   
binary_ID0000012                    1   condorpool 3.731     1    3.731          5.585    0.0  3.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000013                    1   condorpool 2.082     1    2.082          6.2      0.0  8.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000010                    1   condorpool 10.62     1    10.62          9.06     0.0  2.0         -        11.0    -       -             -11      cn17639-ens4   
binary_ID0000011                    1   condorpool 2.124     1    2.124          6.689    0.0  5.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000009                    1   condorpool 2.028     1    2.028          5.262    0.0  7.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000010                    2   condorpool 2.129     1    2.129          5.454    0.0  1.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000018                    1   condorpool 2.162     1    2.162          5.217    0.0  0.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000029                    1   condorpool 1.983     1    1.983          7.146    0.0  3.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000019                    1   condorpool 2.072     1    2.072          5.428    0.0  7.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000016                    1   condorpool 2.097     1    2.097          5.385    0.0  9.0         -        2.0     -       -             0        cn17655-ens4   
binary_ID0000027                    1   condorpool 2.066     1    2.066          5.419    0.0  12.0        -        2.0     -       -             0        cn17655-ens4   
binary_ID0000017                    1   condorpool 2.183     1    2.183          5.799    0.0  9.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000028                    1   condorpool 1.908     1    1.908          6.561    0.0  12.0        -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000025                    1   condorpool 2.127     1    2.127          5.529    0.0  13.0        -        2.0     -       -             0        cn17651-ens4   
binary_ID0000026                    1   condorpool 2.229     1    2.229          5.297    0.0  11.0        -        3.0     -       -             0        cn17655-ens4   
binary_ID0000023                    1   condorpool 2.003     1    2.003          6.969    0.0  11.0        -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000024                    1   condorpool 2.214     1    2.214          5.628    0.0  6.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000021                    1   condorpool 1.984     1    1.984          6.079    0.0  6.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000022                    1   condorpool 1.977     1    1.977          4.599    0.0  6.0         -        3.0     -       -             0        cn17648-enp5s0 
binary_ID0000030                    1   condorpool 2.087     1    2.087          6.962    0.0  6.0         -        3.0     -       -             0        cn17637-ens4   
binary_ID0000020                    1   condorpool 2.366     1    2.366          6.68     0.0  6.0         -        3.0     -       -             0        cn17647-ens4   
binary_ID0000031                    1   condorpool 2.061     1    2.061          6.843    0.0  0.0         -        3.0     -       -             0        cn17640-enp5s0 
binary_ID0000038                    1   condorpool 2.034     1    2.034          7.24     1.0  1.0         -        2.0     -       -             0        cn17637-ens4   
binary_ID0000039                    1   condorpool 1.953     1    1.953          6.223    1.0  0.0         -        2.0     -       -             0        cn17661-ens4   
binary_ID0000036                    1   condorpool 2.086     1    2.086          7.039    1.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000058                    1   condorpool 2.001     1    2.001          6.647    1.0  0.0         -        2.0     -       -             0        cn17640-enp5s0 
binary_ID0000037                    1   condorpool 2.143     1    2.143          6.922    1.0  0.0         -        2.0     -       -             0        cn17648-enp5s0 
binary_ID0000059                    1   condorpool 2.031     1    2.031          6.876    0.0  0.0         -        2.0     -       -             0        cn17637-ens4   
binary_ID0000034                    1   condorpool 2.096     1    2.096          4.981    1.0  0.0         -        3.0     -       -             0        cn17661-ens4   
binary_ID0000056                    1   condorpool 2.308     1    2.308          6.748    1.0  0.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000035                    1   condorpool 2.067     1    2.067          6.997    1.0  1.0         -        2.0     -       -             0        cn17640-enp5s0 
binary_ID0000057                    1   condorpool 1.971     1    1.971          5.991    1.0  1.0         -        2.0     -       -             0        cn17648-enp5s0 
binary_ID0000032                    1   condorpool 1.981     1    1.981          6.772    0.0  0.0         -        2.0     -       -             0        cn17637-ens4   
binary_ID0000054                    1   condorpool 1.925     1    1.925          5.909    0.0  0.0         -        2.0     -       -             0        cn17661-ens4   
binary_ID0000033                    1   condorpool 2.103     1    2.103          6.833    0.0  0.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000055                    1   condorpool 2.067     1    2.067          7.329    0.0  0.0         -        3.0     -       -             0        cn17640-enp5s0 
binary_ID0000052                    1   condorpool 1.842     1    1.842          6.061    0.0  0.0         -        2.0     -       -             0        cn17648-enp5s0 
