
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# ce60d6f8-f6aa-405f-99e3-4794ba9ba3ab (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.198     1    3.198          0.15     0.0  18.0        -        4.0     -       -             0        cn17658-enp5s0 
createfile_ID0000001                1   condorpool 1.668     1    1.668          4.503    0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_0_0     1   condorpool 6.596     1    6.596          0.753    0.0  0.0         -        8.0     -       -             0        cn17658-enp5s0 
binary_ID0000003                    1   condorpool 2.057     1    2.057          5.354    0.0  8.0         -        2.0     -       -             0        cn17635-ens4   
binary_ID0000002                    1   condorpool 2.024     1    2.024          6.826    0.0  8.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 1.892     1    1.892          6.884    0.0  1.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 2.094     1    2.094          5.431    0.0  3.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 1.782     1    1.782          4.952    0.0  4.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 1.874     1    1.874          4.948    0.0  6.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 3.445     1    3.445          5.266    0.0  0.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 2.289     1    2.289          3.753    1.0  5.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 2.081     1    2.081          5.538    1.0  8.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000012                    1   condorpool 2.164     1    2.164          5.381    0.0  10.0        -        2.0     -       -             0        cn17639-ens4   
binary_ID0000013                    1   condorpool 2.098     1    2.098          5.647    0.0  12.0        -        2.0     -       -             0        cn17639-ens4   
binary_ID0000010                    1   condorpool 2.138     1    2.138          5.73     2.0  9.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000011                    1   condorpool 1.986     1    1.986          6.949    0.0  14.0        -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000009                    1   condorpool 2.142     1    2.142          5.72     0.0  14.0        -        4.0     -       -             0        cn17662-enp5s0 
binary_ID0000018                    1   condorpool 2.041     1    2.041          6.844    0.0  1.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000029                    1   condorpool 2.227     1    2.227          7.194    0.0  1.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000019                    1   condorpool 2.133     1    2.133          5.55     0.0  3.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000016                    1   condorpool 2.071     1    2.071          5.542    0.0  2.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000027                    1   condorpool 2.105     1    2.105          5.509    0.0  4.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000017                    1   condorpool 2.064     1    2.064          5.465    0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000028                    1   condorpool 2.146     1    2.146          5.375    0.0  2.0         -        2.0     -       -             0        cn17639-ens4   
binary_ID0000025                    1   condorpool 1.914     1    1.914          6.556    0.0  2.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000026                    1   condorpool 2.238     1    2.238          5.708    1.0  4.0         -        3.0     -       -             0        cn17639-ens4   
binary_ID0000023                    1   condorpool 2.127     1    2.127          5.606    0.0  0.0         -        3.0     -       -             0        cn17662-enp5s0 
binary_ID0000024                    1   condorpool 1.986     1    1.986          6.949    1.0  1.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000021                    1   condorpool 2.063     1    2.063          5.249    1.0  2.0         -        2.0     -       -             0        cn17639-ens4   
