
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 26676abb-766f-43da-a890-84f0ece6d5ec (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.193     1    3.193          0.152    0.0  11.0        -        4.0     -       -             0        cn17658-enp5s0 
createfile_ID0000001                1   condorpool 1.554     1    1.554          4.33     0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_0_0     1   condorpool 4.837     1    4.837          0.743    0.0  0.0         -        5.0     -       -             0        cn17658-enp5s0 
binary_ID0000003                    1   condorpool 1.943     1    1.943          6.824    4.0  5.0         -        5.0     -       -             0        cn17658-enp5s0 
binary_ID0000002                    1   condorpool 2.165     1    2.165          5.369    5.0  9.0         -        4.0     -       -             0        cn17640-enp5s0 
binary_ID0000007                    1   condorpool 2.63      1    2.63           3.755    0.0  1.0         -        2.0     -       -             0        cn17637-ens4   
binary_ID0000005                    1   condorpool 2.215     1    2.215          5.453    0.0  21.0        -        2.0     -       -             0        cn17647-ens4   
binary_ID0000006                    1   condorpool 2.103     1    2.103          5.413    1.0  3.0         -        2.0     -       -             0        cn17637-ens4   
binary_ID0000004                    1   condorpool 1.97      1    1.97           7.259    0.0  20.0        -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000008                    1   condorpool 2.117     1    2.117          6.821    0.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000014                    1   condorpool 1.898     1    1.898          6.662    5.0  3.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000015                    1   condorpool 1.997     1    1.997          6.774    7.0  6.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000012                    1   condorpool 2.071     1    2.071          5.637    0.0  0.0         -        3.0     -       -             0        cn17647-ens4   
binary_ID0000013                    1   condorpool 2.047     1    2.047          5.484    0.0  3.0         -        3.0     -       -             0        cn17647-ens4   
binary_ID0000010                    1   condorpool 2.029     1    2.029          6.923    1.0  4.0         -        7.0     -       -             0        cn17658-enp5s0 
binary_ID0000011                    1   condorpool 2.007     1    2.007          6.74     0.0  13.0        -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000009                    1   condorpool 1.985     1    1.985          6.826    0.0  17.0        -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000018                    1   condorpool 1.988     1    1.988          6.641    0.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000029                    1   condorpool 1.964     1    1.964          7.106    0.0  3.0         -        2.0     -       -             0        cn17658-enp5s0 
