
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# db8dc262-1826-4a28-91ff-5dbe06d791f5 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname     
create_dir_binary-tree_0_condorpool 1   condorpool 3.711     1    3.711          0.161    1.0  17.0        -        4.0     -       -             0        cn17641-ens4 
createfile_ID0000001                1   condorpool 0.623     1    0.623          0.6      0.0  0.0         -        1.0     -       -             0        cn17641-ens4 
stage_out_remote_condorpool_0_0     1   condorpool 3.201     1    3.201          1.061    0.0  0.0         -        4.0     -       -             0        cn17641-ens4 
binary_ID0000003                    1   condorpool 0.774     1    0.774          0.738    0.0  4.0         -        1.0     -       -             0        cn17641-ens4 
binary_ID0000002                    1   condorpool 0.833     1    0.833          0.699    1.0  5.0         -        1.0     -       -             0        cn17641-ens4 
stage_out_remote_condorpool_1_0     1   condorpool 3.052     1    3.052          0.858    1.0  10.0        -        4.0     -       -             0        cn17641-ens4 
stage_out_remote_condorpool_1_1     1   condorpool 2.943     1    2.943          0.825    1.0  5.0         -        4.0     -       -             0        cn17641-ens4 
binary_ID0000007                    1   condorpool 1.161     1    1.161          1.076    1.0  5.0         -        2.0     -       -             0        cn17641-ens4 
binary_ID0000005                    1   condorpool 1.572     1    1.572          1.042    1.0  5.0         -        2.0     -       -             0        cn17641-ens4 
binary_ID0000006                    1   condorpool 1.539     1    1.539          0.772    1.0  6.0         -        1.0     -       -             0        cn17641-ens4 
