
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# cbf2e91e-930d-455b-b67c-0dce1c99daf1 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.191     1    3.191          0.149    0.0  16.0        -        4.0     -       -             0        cn17658-enp5s0 
createfile_ID0000001                1   condorpool 1.727     1    1.727          3.276    0.0  1.0         -        3.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_0_0     1   condorpool 6.393     1    6.393          0.708    0.0  0.0         -        7.0     -       -             0        cn17658-enp5s0 
binary_ID0000003                    1   condorpool 2.242     1    2.242          3.966    0.0  7.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000002                    1   condorpool 2.27      1    2.27           4.022    0.0  10.0        -        2.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_1_0     1   condorpool 5.344     1    5.344          0.688    0.0  10.0        -        5.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_1_1     1   condorpool 10.995    1    10.995         0.787    1.0  5.0         -        12.0    -       -             0        cn17641-ens4   
binary_ID0000007                    1   condorpool 2.714     1    2.714          6.072    0.0  5.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000005                    1   condorpool 2.502     1    2.502          5.76     0.0  4.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000006                    1   condorpool 2.469     1    2.469          5.779    0.0  4.0         -        3.0     -       -             0        cn17652-enp5s0 
binary_ID0000004                    1   condorpool 2.546     1    2.546          5.773    0.0  4.0         -        3.0     -       -             0        cn17645-ens4   
