
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# ca1618eb-ad56-45c9-85a2-4c8f223fba6f (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.194     1    3.194          0.147    0.0  16.0        -        4.0     -       -             0        cn17658-enp5s0 
createfile_ID0000001                1   condorpool 1.797     1    1.797          0.201    1.0  1.0         -        3.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_0_0     1   condorpool 3.132     1    3.132          0.274    1.0  0.0         -        4.0     -       -             0        cn17658-enp5s0 
binary_ID0000003                    1   condorpool 2.185     1    2.185          0.198    0.0  4.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000002                    1   condorpool 2.353     1    2.353          0.106    0.0  7.0         -        3.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_1_0     1   condorpool 3.133     1    3.133          0.276    0.0  13.0        -        3.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_1_1     1   condorpool 3.076     1    3.076          0.273    0.0  8.0         -        3.0     -       -             0        cn17641-ens4   
binary_ID0000007                    1   condorpool 3.202     1    3.202          0.122    0.0  8.0         -        4.0     -       -             0        cn17643-ens4   
binary_ID0000005                    1   condorpool 3.136     1    3.136          0.124    0.0  7.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000006                    1   condorpool 3.151     1    3.151          0.121    0.0  7.0         -        4.0     -       -             0        cn17652-enp5s0 
binary_ID0000004                    1   condorpool 2.932     1    2.932          0.223    0.0  6.0         -        3.0     -       -             0        cn17645-ens4   
stage_out_remote_condorpool_2_1     1   condorpool 4.303     1    4.303          0.414    0.0  1.0         -        6.0     -       -             0        cn17651-ens4   
stage_out_remote_condorpool_2_0     1   condorpool 4.155     1    4.155          0.405    0.0  1.0         -        6.0     -       -             0        cn17652-enp5s0 
binary_ID0000008                    1   condorpool 3.075     1    3.075          0.125    0.0  0.0         -        3.0     -       -             0        cn17643-ens4   
